YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.9139474	1.0333022	0.0173533	0.1374739	0.3305326	0.6139439	0.0589841	0.9392460	0.9810739
1.0456900	0.0000000	1.0622603	0.0193223	0.1696009	0.3686239	0.6004122	0.0677976	0.9389876	0.9775868
1.0929360	0.0115346	0.0000000	0.0208976	0.1788794	0.3711250	1.0246893	0.0831256	0.8513026	0.9344317
0.0250480	0.9271439	0.9931304	0.0023457	0.2308723	0.5019608	0.5952738	0.0724520	0.9050686	0.9815656
0.0423588	0.8620356	1.0227250	0.0203376	0.0000000	0.4608654	0.4706110	0.0738554	0.9771167	0.9775191
1.0348543	0.8969081	1.0864630	0.0189390	0.0312768	0.0000000	0.6319356	0.0233293	0.9770723	1.1279203
0.0488841	0.9027066	0.9917484	0.0150450	0.2293239	0.4846276	0.0000000	0.0688488	1.0049273	1.0358630
0.9216846	1.0811263	0.9347432	0.0219720	0.0303553	0.0563453	0.5775717	0.0000000	0.8936564	1.0392787
0.0290052	0.8090066	0.8360556	0.0988815	0.4941482	0.9634628	0.0440460	1.0722069	0.0000000	1.0316893
0.0179234	0.8987955	0.9550131	0.0853245	0.4540901	0.9092704	0.0314405	0.9886100	0.0562505	0.0000000
