"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.1132164	0.0042847	0.8613919	0.4667154	0.7882821	0.9998988	0.0927202	0.3865880	0.6387077	0.4157959
50	0.1132187	0.0042718	0.8946038	0.2951758	0.7880615	0.9999364	0.0409203	0.3866709	0.6388065	0.4148861
100	0.1131843	0.0041480	0.9459619	0.2555706	0.7879182	0.9999776	0.0182839	0.3867196	0.6375417	0.4057781
150	0.1130482	0.0039688	0.9736377	0.2464690	0.7878179	0.9999926	0.0083916	0.3870628	0.6314711	0.3911423
200	0.1128481	0.0038291	0.9860195	0.2444115	0.7876427	0.9999976	0.0040672	0.3883817	0.6203934	0.3784009
250	0.1126622	0.0037439	0.9912680	0.2440066	0.7871573	0.9999992	0.0021726	0.3911251	0.6076182	0.3699168
300	0.1125269	0.0036975	0.9934329	0.2440744	0.7861190	0.9999997	0.0013346	0.3950766	0.5963492	0.3650055
350	0.1124412	0.0036738	0.9943023	0.2444148	0.7844428	0.9999999	0.0009538	0.3995414	0.5880042	0.3623912
400	0.1123915	0.0036621	0.9946284	0.2450175	0.7822617	1.0000000	0.0007706	0.4037838	0.5825341	0.3610768
450	0.1123643	0.0036565	0.9947186	0.2458574	0.7798531	1.0000000	0.0006741	0.4073229	0.5792540	0.3604465
500	0.1123501	0.0036540	0.9946985	0.2468568	0.7775129	1.0000000	0.0006178	0.4099919	0.5774173	0.3601611
550	0.1123431	0.0036541	0.9875759	0.4227061	0.7754600	1.0000000	0.0523769	0.4118493	0.5764518	0.3601814
600	0.1123433	0.0036747	0.9516319	0.4647736	0.7738034	0.9999978	0.0749864	0.4130533	0.5762942	0.3627158
650	0.1123694	0.0037519	0.9063064	0.4756748	0.7725609	0.9999838	0.0848607	0.4136793	0.5786000	0.3714590
700	0.1124516	0.0038882	0.8742795	0.4791155	0.7717266	0.9999591	0.0891723	0.4134471	0.5857855	0.3849956
