"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.8733238	0.1029580	0.1882746	0.3036703	1.0602655	0.0303971	0.4063700	1.0032188	0.1000247	0.5884160
50	0.9701259	0.1109663	0.1798528	0.3080090	0.6978786	0.0216328	0.4631151	1.0245389	0.0767945	0.6232400
100	0.9011580	0.1210098	0.1466104	0.3608586	0.6198926	0.0370822	0.4264805	1.0167550	0.0798324	0.6574489
150	0.8848473	0.1079991	0.0942818	0.3943603	0.5264703	0.0236205	0.3641870	1.0644113	0.0786677	0.6536241
200	0.9257200	0.1179213	0.1131562	0.3877906	0.3900091	0.0185975	0.3683551	1.1676240	0.0809574	0.6317114
250	0.8839556	0.1517061	0.0946513	0.4387754	0.4497328	0.0247616	0.4115353	1.1047689	0.0412863	0.6437586
300	0.8927280	0.1223865	0.0967104	0.5040145	0.3733190	0.0213824	0.4594959	1.0158940	0.0656682	0.5967316
350	0.9144583	0.1297152	0.1134713	0.5131629	0.4242709	0.0201313	0.4609018	1.0624447	0.0657649	0.6359419
400	0.7889869	0.1275354	0.0989532	0.4751224	0.4343312	0.0292278	0.4319485	1.0631986	0.0778396	0.6430015
450	0.7628792	0.1289247	0.0932287	0.5364089	0.4054709	0.0399256	0.3847856	1.0126334	0.0789682	0.6567822
500	0.8490199	0.1200187	0.1239389	0.5386843	0.5152593	0.0437958	0.4545192	0.8674208	0.0912600	0.6621293
550	0.8453664	0.0960965	0.1242820	0.5301670	0.7263159	0.0398115	0.4631072	0.8918701	0.0698948	0.6317411
600	0.9238156	0.0923563	0.0932228	0.4069552	0.9375502	0.0406187	0.4833167	0.9833643	0.0922647	0.6517416
650	0.9969288	0.0901979	0.0869657	0.3978297	0.9437692	0.0461012	0.4111721	0.9020500	0.0570758	0.6484654
700	0.9740077	0.0847355	0.0612227	0.3238668	0.9506950	0.0412678	0.3740796	1.1062050	0.0850552	0.6738725
750	0.9689144	0.0928076	0.0943034	0.3442340	0.9157149	0.0411463	0.4506553	1.0828707	0.0772363	0.5851696
800	0.9418144	0.0989755	0.1516574	0.2971618	0.8989853	0.0377841	0.5085783	1.0607633	0.0820195	0.6472467
850	0.8620446	0.1465065	0.1412941	0.2658295	0.9051135	0.0245073	0.4698778	0.9572001	0.1135471	0.6747004
900	0.8503642	0.1493249	0.1708919	0.3373281	0.8632259	0.0329283	0.4312886	0.9471493	0.0836189	0.7610167
950	0.9568323	0.1583652	0.1338794	0.3284726	0.9912338	0.0312356	0.4569721	0.9558332	0.0693991	0.6800533
1000	0.9038890	0.1264347	0.1281843	0.3085738	1.0322071	0.0366988	0.4633459	0.7958500	0.0714289	0.6909876

0	0.8733238	0.1029580	0.1882746	0.3036703	1.0602655	0.0303971	0.4063700	1.0032188	0.1000247	0.5884160
50	0.8469682	0.1105155	0.3151461	0.2160937	1.1268726	0.0301739	0.5166464	1.0862917	0.1013702	0.6507054
100	0.8130404	0.1169166	0.5335626	0.1726937	0.9636529	0.0253777	0.4816745	1.0216644	0.0917611	0.6780429
