"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0308968	0.9068401	0.9218731	0.0320765	0.2381490	0.6623045	0.4596907	0.7329838	0.7880402	0.7765373
50	0.0584679	0.6846448	0.7162736	0.0103445	0.2670461	0.7292063	0.3608633	0.7329990	0.8299890	0.8663347
100	0.0309890	0.6614146	0.6772960	0.0011833	0.2528202	0.6980744	0.2747523	0.8094293	0.8223176	0.7560946
150	0.0296336	0.6918004	0.6091233	0.0129621	0.2258914	0.5539990	0.2133466	0.6730363	0.8373004	0.7601036
200	0.0373097	0.8138935	0.5166345	0.0045527	0.2194782	0.6248892	0.1492321	0.7943177	0.7738714	0.7460894
250	0.0892830	0.7963738	0.5313589	0.0037960	0.1344354	0.7652483	0.1934706	0.7161082	0.6041797	0.7631671
300	0.0140398	0.7597062	0.5355537	0.0085132	0.1694030	0.8605385	0.1713290	0.6245245	0.6603116	0.7191213
350	0.0393998	0.8269170	0.7539613	0.0009083	0.1478241	0.6539966	0.2650895	0.6295823	0.7166963	0.5880360
400	0.0174253	0.6750012	0.5998570	0.0099395	0.1350278	0.7194708	0.2194223	0.7657948	0.6591602	0.7057988
450	0.0454966	0.7106834	0.5789759	0.0096500	0.1221830	0.7094549	0.1901729	0.7657031	0.7099645	0.7304838
500	0.0625713	0.7807625	0.6258908	0.0099132	0.1522364	0.7631680	0.2438241	0.6732329	0.6815518	0.8636562
550	0.0476914	0.7467320	0.5715607	0.0091828	0.1748913	0.6706579	0.2029200	0.6290232	0.7206091	0.8061621
600	0.0847796	0.6467451	0.5870995	0.0349062	0.1543412	0.6791511	0.2714156	0.5686159	0.7103086	0.7114310
650	0.0764207	0.7052641	0.6034388	0.0125837	0.1850701	0.8697923	0.3939450	0.7116987	0.8020192	0.8355191
700	0.0468337	0.8477939	0.6980740	0.0151702	0.2221926	0.7469751	0.4260926	0.6341943	0.7248619	0.7742041
750	0.0542919	0.7006378	0.6386140	0.0123069	0.1659225	0.8391220	0.4070655	0.7842718	0.8631161	0.7266615
800	0.0470890	0.6641817	0.7678423	0.0171923	0.2141575	0.6496517	0.4350608	0.6465704	0.8692924	0.8463607
850	0.0751364	0.7139765	0.7094284	0.0384939	0.1736943	0.5608893	0.3405976	0.7511302	0.8444878	0.6725687
900	0.0422510	0.8226973	0.6898396	0.0167616	0.2523199	0.6176902	0.3797774	0.7716618	0.7574304	0.7973529
950	0.0462393	0.9038009	0.7481056	0.0057086	0.2626363	0.6878719	0.3769416	0.6774994	0.8196526	0.7568274
1000	0.0741821	0.7790329	0.6205256	0.0107833	0.1548920	0.7014998	0.3778899	0.7843456	0.7922088	0.8242687

0	0.0524275	0.8044641	0.9130266	0.0344299	0.2780414	0.7276062	0.4343447	0.7693375	0.7934327	0.8668869
50	0.0789308	0.6443768	0.7207377	0.1510183	0.1750869	0.4723561	0.4883319	0.7291387	0.6876616	0.6558704
100	0.0641824	0.6321145	0.7622926	0.1912238	0.2759255	0.2113668	0.4037446	0.7689478	0.6242948	0.7853761
150	0.0895812	0.7085003	0.6471748	0.3216904	0.3480616	0.0984925	0.4179024	0.7249660	0.6892533	0.6359276
200	0.0439283	0.8728704	0.6582646	0.3160562	0.4334985	0.0766373	0.4367530	0.7323551	0.6629271	0.7859557
250	0.0746425	0.6247169	0.7189608	0.2199932	0.3739115	0.0897565	0.3979728	0.5648603	0.5989395	0.7914634
300	0.0668117	0.8024082	0.7272289	0.2231786	0.4974712	0.0807656	0.4083686	0.8094699	0.6351917	0.7171621
350	0.1277553	0.8899341	0.7051147	0.3654867	0.3603549	0.0607676	0.3994706	0.7621196	0.6801775	0.8619795
400	0.0615540	0.8115113	0.6303681	0.3409629	0.4680757	0.0532498	0.3425823	0.7323258	0.6970938	0.7801265
450	0.0722738	0.9429847	0.6397187	0.3445465	0.3276314	0.0498405	0.3323276	0.7035627	0.6165981	0.6398444
500	0.0997813	0.8516788	0.5687796	0.2577059	0.3966176	0.1060267	0.4030967	0.7153861	0.6770643	0.7617416
550	0.0829338	0.7712490	0.6742490	0.3237305	0.4312271	0.2850025	0.3397420	0.6125487	0.6163831	0.7710439
600	0.0619545	0.7303081	0.7058347	0.1574345	0.3592390	0.4953276	0.4562810	0.7412705	0.7428810	0.6660594
650	0.0654458	0.8868393	0.8172576	0.1458494	0.3599505	0.5700780	0.4341403	0.8487113	0.8213010	0.7662618
700	0.1359710	0.7411153	0.8354542	0.1249197	0.2042834	0.6012748	0.3831725	0.6841319	0.8292041	0.6717587
750	0.0957280	0.8772895	0.7175021	0.0447637	0.2860923	0.7186644	0.3769913	0.7292499	0.6868258	0.8015559
800	0.0751108	0.6034012	0.7080083	0.0411730	0.3194755	0.5680308	0.3903633	0.6199514	0.7227020	0.6575402
850	0.0590413	0.8324844	0.7323743	0.0558924	0.2872303	0.7084527	0.3969796	0.7451295	0.5647433	0.7810446
900	0.0480081	0.8885889	0.8031071	0.0444320	0.2029505	0.6937972	0.3986379	0.5906702	0.6482938	0.7169427
950	0.0880073	0.6231584	0.7594743	0.0489065	0.2768990	0.7269039	0.3284215	0.7477470	0.6768546	0.5895191
1000	0.0639266	0.8493223	0.8985356	0.0345546	0.3287429	0.8797850	0.2995993	0.7138064	0.7459302	0.7034247

0	0.0438605	0.8582414	0.8255209	0.0595778	0.2387604	0.6617153	0.4094834	0.8189377	0.8637957	0.7351672
