"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	1.0420502	0.0464972	0.3704218	0.8191738	0.6405479	0.4241492	0.1899842	0.8810844	0.3982765	0.9853886
50	0.9916052	0.0618657	0.2804279	0.9387054	0.6354974	0.4069476	0.2148791	0.5137787	0.4929798	0.3787786
100	0.9408077	0.0363643	0.2827133	0.9364917	0.6116675	0.4241044	0.3098823	0.3306656	0.8351542	0.1846133
150	1.0009201	0.0332984	0.3044478	0.9340474	0.7252802	0.3952054	0.5643965	0.2431659	0.8017235	0.1155820
200	1.0620133	0.0270247	0.3221220	0.9903638	0.7290111	0.3890227	0.7122119	0.1669619	0.9476086	0.0878629
250	1.0285809	0.0219481	0.3259738	0.9145392	0.9018823	0.3391601	0.8995891	0.1287170	0.9585407	0.0954202
300	1.0245792	0.0316032	0.3151945	0.9387435	0.9867753	0.2864688	0.8803981	0.0935025	0.9682078	0.0823182
350	0.9558723	0.0282679	0.2831921	1.0298833	0.8488715	0.2917807	0.8784590	0.1019801	0.9842755	0.1041350
400	1.0466671	0.0280523	0.2635512	1.0233266	0.8918345	0.2631296	0.9557285	0.0753261	0.9976219	0.0802081
450	1.0669454	0.0359858	0.3092455	0.9586955	0.9430854	0.2677285	0.9326758	0.0946272	1.0012415	0.0476728
500	1.0743738	0.0379754	0.2425019	1.0073551	0.9631148	0.3197807	0.9338271	0.0960674	1.0006848	0.0602351
550	1.0313134	0.0174335	0.2513799	0.9355259	0.9297736	0.2471565	0.8665376	0.2199654	0.8929163	0.6884249
600	0.9705738	0.0325435	0.2133016	0.8694458	0.8359095	0.2508905	0.8387084	0.2885782	0.6881798	0.9308730
650	0.9625769	0.0328048	0.2339796	0.9296309	0.9833057	0.2465108	0.7034026	0.4834660	0.5084209	0.8995696
700	1.0327697	0.0324766	0.2929354	0.9693588	0.8989540	0.2526406	0.5626566	0.6243086	0.4592579	0.9775609
750	0.9640742	0.0398484	0.3059674	0.8474601	0.8334336	0.2872370	0.3834209	0.6920277	0.4261626	0.9578651
800	0.9417219	0.0287903	0.2783034	0.8363202	0.8068585	0.3111902	0.3235236	0.7525811	0.4049295	0.9869288
850	1.0112637	0.0322790	0.2762187	0.8928668	0.7268521	0.3324675	0.2667388	0.7983902	0.3865087	1.0024754
900	0.9721042	0.0301117	0.3107345	0.8541062	0.7128620	0.4119000	0.2419938	0.8395101	0.3536144	1.0459837
950	0.9640145	0.0334478	0.3839544	0.8026717	0.7158166	0.4309227	0.2315147	0.8684953	0.3156180	0.9245745
1000	1.0960356	0.0336546	0.3242198	0.8862832	0.6850633	0.4118277	0.2017393	0.9178068	0.3340549	0.9400518

0	1.0420502	0.0464972	0.3704218	0.8191738	0.6405479	0.4241492	0.1899842	0.8810844	0.3982765	0.9853886
50	0.8633629	0.2928469	0.3124156	0.8963117	0.7297235	0.4719331	0.1956578	0.8019752	0.3922179	0.9272686
100	0.3678165	0.3934173	0.2610480	0.9437675	0.6658963	0.3979831	0.2227623	0.8049900	0.3959261	0.9912587
150	0.1577037	0.3702371	0.2558553	0.7968993	0.7483795	0.3873439	0.1816199	0.8812120	0.4563341	1.0269637
200	0.0914117	0.3218651	0.2776637	0.8457310	0.7574717	0.4281572	0.2427683	0.8255413	0.4191786	0.9941981
250	0.0516715	0.3920178	0.2993483	0.9042162	0.7390509	0.4562144	0.2217036	0.8833469	0.3739693	0.9143481
300	0.0461045	0.3787806	0.2793467	0.9306802	0.7247774	0.4217397	0.2252492	0.8960924	0.4188113	0.9333644
350	0.0361133	0.3779150	0.3080037	0.9139135	0.8039845	0.4765977	0.1893421	0.8594365	0.4088193	0.9744791
400	0.0463142	0.3417216	0.3162426	0.7859884	0.8898572	0.4741212	0.2008661	0.7832299	0.3731694	0.9421500
450	0.0305634	0.3156294	0.2973073	0.8267661	0.8250636	0.4445432	0.2391243	0.8135022	0.4677707	0.8694038
500	0.0399940	0.3571452	0.3179769	0.8358048	0.8716978	0.4234709	0.2576555	0.8157723	0.4367584	0.9518913
550	0.0998077	0.0645615	0.3350485	0.8673125	0.7336179	0.3885587	0.3110424	0.7603038	0.3996912	1.0013794
