YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0489135	0.0000000	0.5161417	0.0637513	0.7729809	0.0000000	0.5400865	0.7934096	0.4591225	0.6766326
0.0813891	0.0000000	0.0496944	0.8332094	0.0000000	0.5736058	0.4276097	0.7493280	0.1828028	0.9308332
0.0854982	0.0000000	0.6299886	0.0966685	0.7946849	0.0239042	0.0099516	0.0000000	0.4122663	0.8146831
0.0838794	0.0000000	0.2973865	0.2505193	0.5307966	0.3197930	0.4756451	0.7808614	0.0000000	0.7824153
0.0497582	0.0000000	0.3784974	0.1537724	0.6490227	0.4961312	0.4729605	0.8825046	0.4727051	0.0000000
0.0938919	0.0467528	0.0611846	0.7500084	0.0000000	0.0000000	0.5267770	0.9759287	0.1507376	0.6928263
0.0839428	0.0094294	0.0387368	0.7831039	0.0000000	0.0122584	0.0087881	0.0000000	0.2074782	0.9473426
0.0721272	0.0130850	0.0197132	0.6359924	0.0000000	0.4792673	0.6065897	0.7588870	0.3818125	0.0000000
0.0849150	0.0751787	0.1377681	0.2778796	0.4257724	0.0000000	0.0029352	0.0000000	0.2651713	0.9692698
0.0973741	0.1222285	0.2766316	0.1430750	0.7574806	0.0000000	0.4881718	0.8058145	0.5426209	0.0000000
