YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1361551	0.4255629	0.3478835	0.5590742	0.0033885	0.0023533	0.0624836	0.4645701	0.6784478	0.5879658
0.0520474	0.3206044	0.3356344	0.8052082	0.0011101	0.0109338	0.0196276	0.6444387	0.7341232	0.4871617
0.3358687	0.3513285	0.4920968	0.6872231	0.0014081	0.0145776	0.0104118	0.6565802	0.7282958	0.5745194
0.0221301	0.1185034	0.5914799	0.6009292	0.0034674	0.0006837	0.0292289	0.8908711	0.8081828	0.5759874
0.2636184	0.4296562	0.3641331	0.4440813	0.0081989	0.1285028	0.0033631	0.8483332	0.5784184	0.7549581
0.0577223	0.2048390	0.5502263	0.7417510	0.0553999	0.0017515	0.0089438	0.7906715	0.7099588	0.6642904
0.1176471	0.3539252	0.3842770	0.2760284	0.1925953	0.0603987	0.0520901	0.8359597	0.7584715	0.8667244
0.1214376	0.2021874	0.6383087	0.4553841	0.5218769	0.5367898	0.0125007	0.9156495	0.6973128	0.5612150
0.2938301	0.3071807	0.4697634	0.6602039	0.0137113	0.0004999	0.0294970	0.8851785	0.7915526	0.7223772
0.3104505	0.4366305	0.4944834	0.6848096	0.0000134	0.0008160	0.0319939	0.5663353	0.8784815	0.6567313
