"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.0199302	0.6915696	0.7251203	0.0170011	0.1658919	0.3579218	0.5357300	0.0521492	0.8875004	0.7817196
50	0.0329242	0.6777328	0.8197322	0.0268593	0.3852443	0.3508920	0.3453830	0.0393342	0.7384183	0.8001374
100	0.0236358	0.6433995	0.8555644	0.0245437	0.4300116	0.4824730	0.2702433	0.0066088	0.6293804	0.7810039
150	0.0118641	0.6126664	0.7460158	0.0414096	0.4894206	0.5380305	0.2056379	0.0241730	0.7863801	0.8627475
200	0.0106815	0.7094381	0.8714619	0.0616899	0.4159451	0.5349808	0.1017275	0.0187559	0.9532517	0.7980696
250	0.0160177	0.6210169	0.6862985	0.1029080	0.4549904	0.4053513	0.0784721	0.0010655	0.8407675	0.9351573
300	0.0175055	0.6385688	0.6637891	0.1156281	0.6045086	0.4310621	0.0790858	0.0004122	0.6341706	0.7430696
350	0.0424864	0.5721548	0.6162198	0.2011448	0.6672210	0.3627058	0.1238050	0.0040649	0.7173735	0.8197489
400	0.0158572	0.6629121	0.5481475	0.1159676	0.5771294	0.4571682	0.1234501	0.0065227	0.7527306	0.8308875
450	0.0320459	0.6769339	0.4461285	0.1282999	0.6142088	0.5740698	0.1055680	0.0025443	0.7919422	0.7618357
500	0.0053303	0.5688782	0.4116372	0.1955181	0.4788074	0.5302206	0.0859242	0.0029675	0.6418296	0.8194375
550	0.0201908	0.4510735	0.3291039	0.2445428	0.4595356	0.2857036	0.2396323	0.0145342	0.6886873	0.8373039
600	0.0948077	0.4738142	0.4177502	0.0994065	0.3293977	0.1779598	0.4162706	0.0156056	0.7373718	0.7962751
650	0.1456948	0.4630826	0.4299190	0.0561538	0.2563923	0.2934838	0.4441002	0.0550602	0.6566203	0.8556105
700	0.0769211	0.6006142	0.5468080	0.0190831	0.1772380	0.2525203	0.4190865	0.0257207	0.6423174	0.6192802
750	0.1005968	0.5474428	0.6479685	0.0145260	0.1830312	0.3250861	0.3936021	0.0545452	0.6753664	0.6347843
