"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.4818231	0.5533819	0.5870182	0.8594393	0.7640241	0.7684229	0.6192777	0.7072529	0.8016269	0.6885241
50	0.3974435	0.5491971	0.5185906	0.7710810	0.6749042	0.5606758	0.6749087	0.8460385	0.6547298	0.8516971
100	0.3690872	0.5741256	0.3595310	0.7509736	0.7770025	0.7845387	0.7377916	0.5684313	0.6705596	0.7819376
150	0.4017117	0.6865614	0.3488730	0.6246270	0.6917130	0.7586859	0.7377048	0.6470879	0.6744753	0.7890584
200	0.2348702	0.5857575	0.4562147	0.7671067	0.6652790	0.6376604	0.6992085	0.8243939	0.7528408	0.8229454
250	0.2787004	0.6695420	0.4252135	0.7494957	0.7294332	0.7527582	0.6752714	0.7851325	0.7402778	0.6647939
300	0.2644595	0.5788604	0.4441313	0.7811537	0.7901244	0.8054175	0.6546118	0.7908233	0.7037947	0.7807118
350	0.2557789	0.6550177	0.4549130	0.6742284	0.8133725	0.7858170	0.6794229	0.6266930	0.8417848	0.8280013
400	0.2315816	0.7627672	0.4757473	0.7953580	0.7342726	0.8524838	0.7361854	0.8252274	0.8244172	0.7604370
450	0.3064952	0.7159810	0.4194925	0.8379202	0.6717141	0.6597523	0.7075066	0.6780178	0.6803541	0.7848291
500	0.1187566	0.6055149	0.4699099	0.7421935	0.5735463	0.7819900	0.7510599	0.6977185	0.7805460	0.6762421
550	0.2058309	0.5811054	0.3897626	0.8957175	0.6881382	0.9179001	0.8273926	0.5597293	0.7862534	0.6932808
600	0.2601799	0.4191689	0.5751338	0.8785399	0.7663129	0.7399460	0.6538776	0.8747811	0.7000361	0.6911432
650	0.3164122	0.4134298	0.5016203	0.7590476	0.6334598	0.7684505	0.8652987	0.8682331	0.7501301	0.7913868
700	0.4829016	0.4076965	0.4116267	0.6629230	0.7489570	0.7410828	0.6652232	0.7878735	0.8070298	0.8130827
750	0.4096979	0.4330875	0.4768267	0.7207407	0.6265099	0.6815327	0.6809265	0.8482382	0.7464504	0.7160709
800	0.4555214	0.4495538	0.4238583	0.6342790	0.6582810	0.6614539	0.7198379	0.6915964	0.8699192	0.7535574
850	0.3987185	0.3737811	0.3927431	0.7785584	0.6409863	0.5951810	0.6037537	0.8341359	0.9077326	0.7432485
900	0.4593034	0.4050559	0.4411423	0.7113079	0.8216537	0.6912782	0.6003621	0.7727769	0.6573556	0.8412165
950	0.4250325	0.4044644	0.4576641	0.7669989	0.7721312	0.6950943	0.6744126	0.8235892	0.7441272	0.8151628
1000	0.5881127	0.3965781	0.4422824	0.9653516	0.7124177	0.6700814	0.7970045	0.8528154	0.8563424	0.7134813

0	0.5370315	0.5043331	0.4974377	0.7024338	0.8295362	0.7188196	0.7435299	0.8306537	0.8684841	0.7054443
50	0.3184036	0.5006045	0.4638564	0.7517277	0.7048332	0.6493990	0.7663598	0.6651383	0.6729725	0.8174334
100	0.3539985	0.5960579	0.4642690	0.6987047	0.7555706	0.7375506	0.7839305	0.8710199	0.5269110	0.7733041
150	0.3281607	0.4976269	0.3843313	0.6213949	0.9472101	0.6882786	0.7099626	0.7612475	0.5236237	0.8446113
200	0.2960791	0.4846467	0.3922562	0.7366904	0.7987072	0.6249004	0.7221387	0.7319670	0.4069791	0.7212252
250	0.3362080	0.4254797	0.4840660	0.6525960	0.7295723	0.6323312	0.8294123	0.7694193	0.5138180	0.6455380
300	0.3532852	0.4081885	0.3982930	0.8483255	0.7197326	0.6434413	0.6233668	0.7422657	0.3339167	0.5761722
350	0.3241079	0.4961946	0.4139248	0.7154158	0.7804163	0.6799159	0.8731831	0.7671761	0.3615781	0.6179454
400	0.3756792	0.3826779	0.3886513	0.7632681	0.8221622	0.5750415	0.7577973	0.5221128	0.4496986	0.6493698
450	0.5063605	0.4156904	0.4036250	0.7059060	0.8604912	0.9114253	0.8501237	0.7803073	0.3910874	0.7506712
500	0.5368895	0.4097891	0.4067501	0.7358644	0.5991354	0.6854118	0.8095283	0.6346667	0.3709744	0.7015709
550	0.4047439	0.5317023	0.4332283	0.6521213	0.6432810	0.9029196	0.8800639	0.7410609	0.4098608	0.6832893
600	0.4946885	0.4098142	0.3639320	0.8362018	0.7419567	0.8168767	0.6201977	0.6397103	0.5837185	0.6709991
650	0.4601492	0.5039033	0.3697667	0.6351921	0.7000524	0.7314029	0.5883648	0.8098141	0.7476420	0.6872092
700	0.5777720	0.4759038	0.4024533	0.8070258	0.7441607	0.7329997	0.5783211	0.7688485	0.8772686	0.8927731
750	0.4059939	0.4315669	0.4410088	0.7450273	0.7722479	0.7317526	0.5350746	0.9338677	0.6600993	0.8351861
800	0.4398428	0.4993938	0.4401705	0.8731842	0.7191948	0.7705277	0.6872527	0.7703483	0.6123478	0.7348679
850	0.4946153	0.4642488	0.4089818	0.7746264	0.7727756	0.7514716	0.7619943	0.7273869	0.6504436	0.8860865
900	0.3764587	0.5437731	0.4285696	0.9074040	0.6599081	0.6697536	0.8822375	0.8775857	0.7184052	0.8659450
950	0.5343676	0.4551344	0.4752699	0.7618365	0.7524879	0.6078874	0.7986910	0.8190476	0.8690225	0.8371748
1000	0.3770704	0.5567085	0.5318325	0.6773790	0.7261636	0.7892462	0.6558321	0.7190220	0.6824325	0.6856503

0	0.5217409	0.4447443	0.5532334	0.6896923	0.9080004	0.8637349	0.6857015	0.7683353	0.6769854	0.7913969
50	0.4194664	0.4976304	0.6058921	0.7989305	0.7821297	0.7804777	0.7787627	0.5744650	0.6500468	0.6241981
100	0.4903315	0.4491051	0.3349582	0.7955252	0.7719258	0.7924280	0.6334061	0.5706710	0.7337934	0.7032055
150	0.4966590	0.3882363	0.5444000	0.7357289	0.7030904	0.8601383	0.8006865	0.6514776	0.7370867	0.7763678
200	0.5139379	0.4994803	0.4607081	0.8033347	0.8501931	0.6671187	0.6510671	0.5240621	0.6616927	0.7578587
250	0.5266879	0.6385069	0.5380479	0.5597161	0.8386815	0.7305409	0.6869855	0.5985488	0.7358199	0.8482968
300	0.3350729	0.4997260	0.5230491	0.5715339	0.7651151	0.6784402	0.6262478	0.4327373	0.6474181	0.7440614
350	0.3546053	0.5348125	0.4365213	0.7941733	0.7939989	0.6497561	0.6182949	0.5376532	0.6168529	0.7360200
400	0.2951278	0.5284007	0.4601791	0.7371625	0.7253872	0.7842707	0.7005797	0.5520164	0.7681918	0.6983161
450	0.3282002	0.4438280	0.3172865	0.6654819	0.7795315	0.7343554	0.7499814	0.5482469	0.5239528	0.7010449
500	0.4290286	0.5151266	0.4003914	0.6060306	0.8473472	0.7805501	0.6104630	0.4686163	0.6965833	0.7353522
550	0.3768578	0.5782796	0.3948523	0.7931187	0.6460724	0.6792247	0.6928059	0.5597126	0.7138397	0.7004717
600	0.4826203	0.4492088	0.4604104	0.7213407	0.7656254	0.6010563	0.7606997	0.6552299	0.7613432	0.8263562
650	0.4718307	0.3809450	0.3441966	0.7799756	0.6905468	0.6309965	0.7651209	0.5461847	0.8345242	0.7169151
700	0.5219876	0.3765207	0.3928825	0.9217444	0.7040547	0.6580624	0.6866399	0.7815411	0.8023140	0.7406327
750	0.3529490	0.3874914	0.5743733	0.7464724	0.8348510	0.7899901	0.6459634	0.7074096	0.7440358	0.7026079
800	0.5334447	0.4117870	0.4173252	0.6296899	0.6278944	0.8070465	0.7516348	0.5270116	0.7380489	0.7154680
850	0.5014218	0.4824219	0.3277550	0.7293179	0.6994857	0.7541020	0.7663366	0.7433206	0.6418464	0.6328372
900	0.4510460	0.4849616	0.4311122	0.7922041	0.8304599	0.7798171	0.8331927	0.7218534	0.7702894	0.6074578
950	0.5310512	0.4901717	0.3711439	0.7085454	0.8699476	0.8300564	0.6963766	0.7454043	0.9025786	0.7630679
1000	0.5392185	0.4159650	0.4220129	0.6282826	0.7069176	0.6139227	0.7716586	0.7462533	0.7393947	0.8426678

0	0.5113094	0.4669330	0.4857807	0.8401941	0.7614375	0.7829190	0.6629468	0.6940402	0.7606822	0.7297133
50	0.3736184	0.4781774	0.4983057	0.8198870	0.6904149	0.7923582	0.6447600	0.4047512	0.6663076	0.9328469
100	0.3902802	0.5401383	0.4117461	0.5335941	0.5921691	0.8618440	0.7271290	0.2267269	0.8229655	0.7697070
150	0.3523541	0.4293360	0.3719467	0.5431738	0.5981231	0.7330982	0.6879953	0.1449808	0.6696237	0.8763166
200	0.3439325	0.3879417	0.3449742	0.6473500	0.5711637	0.7279457	0.7011973	0.1501710	0.6098888	0.8262489
250	0.4550397	0.3496672	0.3696661	0.6090114	0.5818231	0.8865776	0.8324619	0.1494837	0.6865258	0.7060045
300	0.5725123	0.3444532	0.4005567	0.6835757	0.6046014	0.8806425	0.7088921	0.1836292	0.6813797	0.7345673
350	0.6272563	0.4016229	0.3835768	0.7291566	0.6674003	0.6767702	0.8306980	0.1449233	0.6251621	0.7475197
400	0.5925064	0.4029130	0.4069530	0.5171230	0.6326466	0.6623691	0.7164032	0.1675108	0.7183226	0.6817716
450	0.5126776	0.4241227	0.4013122	0.5346664	0.6202209	0.5069869	0.7437018	0.1745668	0.6185028	0.6605191
500	0.5714115	0.4458877	0.3374328	0.5909352	0.5473973	0.7862877	0.7592074	0.1194876	0.5954962	0.6401878
550	0.5772862	0.4507185	0.3461691	0.8153530	0.5924099	0.7490447	0.9309264	0.4026877	0.5657527	0.6545345
600	0.3971539	0.4254971	0.4118829	0.5708899	0.7407658	0.7986004	0.7641202	0.6298573	0.7650627	0.8070747
650	0.3886296	0.4758346	0.4693768	0.6596870	0.8119728	0.7824577	0.6329052	0.6061738	0.8529757	0.8508066
700	0.4660959	0.4547155	0.5402822	0.6748863	0.7132946	0.7206641	0.7118647	0.8495952	0.7237236	0.6978141
750	0.3691769	0.4925290	0.3945158	0.8596858	0.7055593	0.9214127	0.6851217	0.8113927	0.7433395	0.6855499
800	0.3533311	0.5632277	0.3754592	0.5848788	0.6878065	0.7324023	0.7097503	0.6383279	0.6858322	0.7030174
850	0.5151321	0.3649975	0.3894303	0.6417252	0.7980752	0.6699323	0.7229194	0.7096219	0.6992428	0.9411694
900	0.4720740	0.4916423	0.3319150	0.8566594	0.7178615	0.8049460	0.7422377	0.8423072	0.6942789	0.6673168
950	0.4926903	0.5860074	0.4585804	0.6782562	0.9184742	0.6963057	0.5740729	0.6508035	0.7391398	0.6212712
1000	0.3789626	0.5214046	0.3731924	0.7325350	0.6703087	0.6396291	0.7913113	0.7288500	0.8853229	0.6834131

0	0.5619758	0.4295572	0.4974195	0.7962079	0.8130892	0.7536339	0.6676837	0.6176461	0.7239666	0.6755387
50	0.4752204	0.5298156	0.4288903	0.6785427	0.7397536	0.7454356	0.7243603	0.4385374	0.6581127	0.8153496
100	0.4121273	0.5099439	0.4843952	0.7151039	0.6995643	0.6580548	0.7963047	0.2811041	0.6070723	0.6069928
150	0.4006131	0.5084164	0.5039004	0.6354094	0.6667343	0.7909823	0.6836901	0.1085232	0.5254028	0.5685576
200	0.3656493	0.4815075	0.5220487	0.6681081	0.5335613	0.6447583	0.7347833	0.0763107	0.6295339	0.7356819
250	0.2626581	0.4275652	0.3284855	0.6316567	0.5747950	0.6438951	0.7166707	0.1401198	0.5493532	0.6245022
300	0.3005571	0.6198902	0.3598016	0.6479650	0.6260479	0.6609518	0.7225114	0.0880376	0.4894984	0.6398002
350	0.3483804	0.5381162	0.4500861	0.5538758	0.6749111	0.6981658	0.6182298	0.1069907	0.5635914	0.7059798
400	0.3522568	0.3699382	0.3569108	0.7010934	0.6666654	0.6850350	0.5137746	0.1802216	0.5239978	0.8086102
