"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9993654	0.0131576	0.0533208	0.8559539	0.9223622	0.9336817	0.0810473	0.9986237	0.0356354	0.7481780
100	0.9993630	0.0131597	0.0533249	0.8533583	0.9192280	0.8650345	0.1353840	0.9988654	0.0500069	0.4645467
150	0.9993617	0.0131557	0.0533426	0.8486879	0.9146093	0.8296618	0.1754110	0.9969738	0.1490522	0.3053112
200	0.9993612	0.0131379	0.0533767	0.8437238	0.9105789	0.8142972	0.2368386	0.9720520	0.3384201	0.2309307
250	0.9993618	0.0131002	0.0534202	0.8397238	0.9078857	0.8075398	0.3530442	0.8795421	0.5228545	0.1990105
300	0.9993637	0.0130447	0.0534631	0.8369290	0.9062869	0.8004475	0.4860326	0.7381886	0.6449160	0.1859501
350	0.9993671	0.0129804	0.0534993	0.8347336	0.9050405	0.7810706	0.5940745	0.6083530	0.7107235	0.1807634
400	0.9993716	0.0129166	0.0535300	0.8317536	0.9030448	0.7425063	0.6668955	0.5173412	0.7424132	0.1787441
450	0.9993768	0.0128573	0.0535643	0.8262764	0.8993430	0.6927697	0.7109406	0.4624653	0.7566823	0.1779686
500	0.9993821	0.0127969	0.0536171	0.8172239	0.8938227	0.6454783	0.7358100	0.4322764	0.7628352	0.1776738
550	0.9993876	0.0127209	0.0537020	0.8065416	0.8882124	0.6631075	0.7052787	0.4165561	0.7202644	0.4293845
600	0.9993938	0.0126140	0.0538040	0.8033448	0.8875991	0.7240073	0.6400668	0.4556339	0.4448105	0.7129740
650	0.9994015	0.0124834	0.0538659	0.8092568	0.8922445	0.7995655	0.5283658	0.6087639	0.2249176	0.8721938
700	0.9994108	0.0123714	0.0538518	0.8199901	0.8996478	0.8799944	0.3761793	0.7810970	0.1175191	0.9465685
750	0.9994201	0.0123242	0.0537737	0.8313547	0.9074553	0.9410695	0.2399456	0.8941757	0.0731177	0.9784866
800	0.9994271	0.0123597	0.0536662	0.8406958	0.9138170	0.9745824	0.1475722	0.9522266	0.0560000	0.9915461
850	0.9994296	0.0124634	0.0535613	0.8472257	0.9180652	0.9897971	0.0938610	0.9788061	0.0495992	0.9967326
900	0.9994268	0.0126030	0.0534763	0.8513207	0.9205192	0.9960641	0.0652340	0.9903112	0.0472347	0.9987518
950	0.9994197	0.0127464	0.0534155	0.8536984	0.9217970	0.9985161	0.0507588	0.9951490	0.0463641	0.9995272
1000	0.9994099	0.0128720	0.0533756	0.8550006	0.9224138	0.9994482	0.0436835	0.9971515	0.0460433	0.9998220

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9993654	0.0131576	0.0533215	0.8539845	0.9124262	0.7101307	0.0369612	0.9636805	0.0294072	1.0000000
100	0.9993630	0.0131566	0.0533577	0.8229446	0.8835064	0.4100958	0.0350979	0.9284509	0.0145346	1.0000000
150	0.9993620	0.0131008	0.0536696	0.7099102	0.8313131	0.2555853	0.0329272	0.9104222	0.0079267	1.0000000
200	0.9993651	0.0127312	0.0551354	0.5411886	0.7636943	0.1888144	0.0313586	0.9025027	0.0054535	1.0000000
250	0.9993854	0.0113795	0.0601452	0.3943317	0.6996500	0.1620694	0.0304355	0.8992158	0.0045916	1.0000000
300	0.9994502	0.0085579	0.0738242	0.2945664	0.6524891	0.1517712	0.0299459	0.8978849	0.0043017	1.0000000
350	0.9995709	0.0052919	0.1028877	0.2338207	0.6235898	0.1478938	0.0297010	0.8973520	0.0042059	1.0000000
400	0.9997116	0.0029159	0.1492527	0.1988652	0.6080326	0.1464532	0.0295829	0.8971399	0.0041747	1.0000000
450	0.9998283	0.0015843	0.2052490	0.1795325	0.6003912	0.1459223	0.0295272	0.8970556	0.0041645	1.0000000
500	0.9999063	0.0009299	0.2587406	0.1692105	0.5968780	0.1457277	0.0295014	0.8970222	0.0041612	1.0000000
550	0.9999517	0.0006307	0.2970250	0.1967221	0.6353632	0.4355258	0.0295656	0.9320019	0.0206081	1.0000000
600	0.9999759	0.0004999	0.2551562	0.3809160	0.7429673	0.7355348	0.0303587	0.9675354	0.0354804	1.0000000
650	0.9999881	0.0004445	0.1672079	0.5801975	0.8309034	0.8900359	0.0320490	0.9856273	0.0420882	1.0000000
700	0.9999941	0.0004257	0.1067263	0.7124908	0.8805846	0.9568033	0.0338855	0.9934152	0.0445613	1.0000000
750	0.9999968	0.0004937	0.0761939	0.7859395	0.9045966	0.9835470	0.0353181	0.9965480	0.0454232	1.0000000
800	0.9999978	0.0010538	0.0626642	0.8232589	0.9152887	0.9938447	0.0362463	0.9977709	0.0457132	1.0000000
850	0.9999953	0.0027368	0.0570474	0.8412431	0.9198212	0.9977221	0.0367828	0.9982423	0.0458089	1.0000000
900	0.9999796	0.0053569	0.0547928	0.8496039	0.9216811	0.9991626	0.0370707	0.9984234	0.0458402	1.0000000
950	0.9999332	0.0080242	0.0539017	0.8533883	0.9224268	0.9996934	0.0372175	0.9984930	0.0458503	1.0000000
1000	0.9998494	0.0101054	0.0535510	0.8550653	0.9227206	0.9998881	0.0372897	0.9985198	0.0458536	1.0000000

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9993654	0.0131576	0.0533206	0.8563350	0.9229055	1.0000000	0.0373572	0.9840043	0.0458552	1.0000000
100	0.9993630	0.0131602	0.0533206	0.8563351	0.9229055	1.0000000	0.0373557	0.9691861	0.0458552	1.0000000
150	0.9993616	0.0131614	0.0533206	0.8563352	0.9229055	1.0000000	0.0373551	0.9615300	0.0458552	1.0000000
200	0.9993609	0.0131619	0.0533206	0.8563352	0.9229055	1.0000000	0.0373548	0.9581443	0.0458552	1.0000000
250	0.9993605	0.0131621	0.0533205	0.8563352	0.9229055	1.0000000	0.0373547	0.9567332	0.0458552	1.0000000
300	0.9993603	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9561602	0.0458552	1.0000000
350	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9559304	0.0458552	1.0000000
400	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9558388	0.0458552	1.0000000
450	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9558024	0.0458552	1.0000000
500	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9557879	0.0458552	1.0000000
550	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9703144	0.0458552	1.0000000
600	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9851305	0.0458552	1.0000000
650	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9927858	0.0458552	1.0000000
700	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9961710	0.0458552	1.0000000
750	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9975820	0.0458552	1.0000000
800	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9981550	0.0458552	1.0000000
850	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9983848	0.0458552	1.0000000
900	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9984764	0.0458552	1.0000000
950	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9985128	0.0458552	1.0000000
1000	0.9993602	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0373546	0.9985273	0.0458552	1.0000000

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9220151	0.0097251	0.0386371	0.8563350	0.9229055	0.9999973	0.1681814	0.6764899	0.0298915	1.0000000
100	0.8211919	0.0074454	0.0231548	0.8563340	0.9229038	0.9995898	0.3318343	0.3481211	0.0154568	1.0000000
150	0.7547430	0.0104646	0.0151184	0.8563055	0.9228629	0.9956224	0.4359029	0.1784740	0.0090434	1.0000000
200	0.7183457	0.0139625	0.0116658	0.8561340	0.9226313	0.9848757	0.4914926	0.1034575	0.0066431	1.0000000
250	0.7000451	0.0161489	0.0103101	0.8556675	0.9220493	0.9701420	0.5189926	0.0721916	0.0058066	1.0000000
300	0.6912728	0.0172761	0.0098071	0.8548808	0.9211557	0.9564044	0.5320529	0.0594964	0.0055252	1.0000000
350	0.6871909	0.0178059	0.0096303	0.8539086	0.9201589	0.9462428	0.5381095	0.0544045	0.0054323	1.0000000
400	0.6853291	0.0180417	0.0095740	0.8529397	0.9192655	0.9397524	0.5408773	0.0523743	0.0054019	1.0000000
450	0.6844921	0.0181431	0.0095608	0.8521138	0.9185810	0.9359918	0.5421305	0.0515672	0.0053921	1.0000000
500	0.6841199	0.0181855	0.0095618	0.8514874	0.9181137	0.9339542	0.5426945	0.0512468	0.0053889	1.0000000
550	0.7534079	0.2810547	0.0242500	0.8510745	0.9178490	0.9393204	0.4112391	0.3736274	0.0213515	1.0000000
600	0.7753432	0.4495976	0.0397367	0.8511881	0.9181641	0.9626258	0.2512992	0.7022859	0.0357859	1.0000000
650	0.7434475	0.3337749	0.0477739	0.8520764	0.9192841	0.9822564	0.1649094	0.8718323	0.0421992	1.0000000
700	0.7568100	0.1939221	0.0512221	0.8533002	0.9206015	0.9925271	0.1132211	0.9465998	0.0445994	1.0000000
750	0.8169658	0.1035377	0.0525703	0.8543998	0.9216229	0.9970383	0.0782325	0.9776524	0.0454360	1.0000000
800	0.8837073	0.0553827	0.0530666	0.8551985	0.9222564	0.9988654	0.0577631	0.9902134	0.0457174	1.0000000
850	0.9339178	0.0320396	0.0532404	0.8557084	0.9225991	0.9995739	0.0470957	0.9952330	0.0458103	1.0000000
900	0.9650192	0.0213436	0.0532980	0.8560066	0.9227682	0.9998419	0.0418828	0.9972277	0.0458406	1.0000000
950	0.9822372	0.0166245	0.0533157	0.8561698	0.9228464	0.9999417	0.0394260	0.9980184	0.0458505	1.0000000
1000	0.9911224	0.0145993	0.0533204	0.8562548	0.9228808	0.9999786	0.0382927	0.9983316	0.0458537	1.0000000

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9993654	0.0131598	0.0532826	0.8970285	0.9268367	0.7823111	0.0373815	0.9628805	0.0483630	0.7256300
100	0.9993627	0.0132158	0.0530821	0.9418072	0.9216755	0.5569880	0.0385221	0.9261796	0.0833132	0.4166025
150	0.9993583	0.0134104	0.0528227	0.9607249	0.9042487	0.4409521	0.0543067	0.9005861	0.2433311	0.2431092
200	0.9993478	0.0137296	0.0526354	0.9604237	0.8832539	0.3908073	0.1379703	0.8306557	0.5209378	0.1620686
250	0.9993287	0.0140671	0.0525509	0.9524153	0.8660779	0.3706697	0.2851453	0.6711358	0.7484447	0.1272903
300	0.9993037	0.0143265	0.0525421	0.9439759	0.8548752	0.3620511	0.4229779	0.5001369	0.8747346	0.1130605
350	0.9992783	0.0144723	0.0525706	0.9375187	0.8483230	0.3549502	0.5194098	0.3775029	0.9331174	0.1074094
400	0.9992574	0.0145200	0.0526091	0.9326871	0.8440117	0.3450217	0.5776570	0.3053300	0.9578016	0.1052092
450	0.9992436	0.0145050	0.0526461	0.9283855	0.8400464	0.3333330	0.6099976	0.2671682	0.9677727	0.1043644
500	0.9992367	0.0144589	0.0526802	0.9240213	0.8357608	0.3226744	0.6270182	0.2482522	0.9717040	0.1040431
550	0.9992353	0.0143947	0.0528097	0.8148005	0.8250210	0.5016801	0.6353205	0.2559964	0.9076210	0.3782918
600	0.9992384	0.0141837	0.0533855	0.7583992	0.8417884	0.6893071	0.6261177	0.3105750	0.5618563	0.6872738
650	0.9992513	0.0136175	0.0539943	0.7700647	0.8687888	0.7960305	0.5577535	0.4839595	0.2766402	0.8607501
700	0.9992824	0.0128809	0.0542079	0.7962784	0.8896123	0.8733991	0.4196076	0.7017345	0.1373837	0.9417843
750	0.9993288	0.0123208	0.0541097	0.8186710	0.9032963	0.9343315	0.2746142	0.8538580	0.0802791	0.9765603
800	0.9993770	0.0120841	0.0539023	0.8342691	0.9119922	0.9706869	0.1691302	0.9339781	0.0585050	0.9907892
850	0.9994136	0.0121178	0.0537047	0.8440720	0.9172193	0.9880089	0.1056976	0.9710082	0.0504635	0.9964400
900	0.9994330	0.0122986	0.0535562	0.8498076	0.9201211	0.9953248	0.0712956	0.9870758	0.0475314	0.9986400
950	0.9994365	0.0125203	0.0534576	0.8529848	0.9216123	0.9982263	0.0537338	0.9938276	0.0464659	0.9994848
1000	0.9994291	0.0127210	0.0533970	0.8546690	0.9223305	0.9993379	0.0451038	0.9966165	0.0460784	0.9998061

0	0.9993695	0.0131515	0.0533207	0.8563346	0.9229055	0.9999999	0.0373604	0.9985364	0.0458552	1.0000000
50	0.9993654	0.0131576	0.0533206	0.8563350	0.9229055	1.0000000	0.0373609	0.9985354	0.0461991	0.9491085
100	0.9993630	0.0131602	0.0533206	0.8563351	0.9229055	1.0000000	0.0374557	0.9985063	0.0482714	0.8917886
150	0.9993616	0.0131614	0.0533206	0.8563352	0.9229055	1.0000000	0.0378505	0.9983932	0.0515205	0.8596082
200	0.9993609	0.0131619	0.0533206	0.8563352	0.9229055	1.0000000	0.0386078	0.9981877	0.0545260	0.8445764
250	0.9993605	0.0131621	0.0533205	0.8563352	0.9229055	1.0000000	0.0395676	0.9979406	0.0566245	0.8381255
300	0.9993603	0.0131622	0.0533205	0.8563352	0.9229055	1.0000000	0.0405037	0.9977128	0.0578565	0.8354861
