YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.2527528	0.5954441	0.2961104	0.1442546	0.1055881	0.0432771	0.6220570	0.5486105	0.2805990	0.7479612
0.4046856	0.2417965	0.3024758	0.1124510	0.0669413	0.0623301	0.5568253	0.1596076	0.5213751	0.7751984
0.7623208	0.5990726	0.1724037	0.0942108	0.0961693	0.0713247	0.6451171	0.7556207	0.3752271	0.7516138
0.7482288	0.5184114	0.1941152	0.0432246	0.0788841	0.0933702	0.6747286	0.5944953	0.2867247	0.7517424
0.7364117	0.6123390	0.1688823	0.0636126	0.0357290	0.0399990	0.6565803	0.4255190	0.3845151	0.7210707
0.6686544	0.4173328	0.1438461	0.0358069	0.0127763	0.0156756	0.6465923	0.4554801	0.4040611	0.7771349
0.8008655	0.7760520	0.6165907	0.5678653	0.5082013	0.2467305	0.1721191	0.5393289	0.3979708	0.6632493
0.6841284	0.6312399	0.3986782	0.2125557	0.0887510	0.0490396	0.5100238	0.4486789	0.2354266	0.7641628
0.6730924	0.6114178	0.3450330	0.1425830	0.1674641	0.0993659	0.6598732	0.7580248	0.1910711	0.8143227
0.6503094	0.6292739	0.2489961	0.0885162	0.0956414	0.0636036	0.6264888	0.1955789	0.6518604	0.4524135
