"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.7912875	0.1609496	0.8643360	0.3823103	0.4961265	0.9892686	0.0324060	0.7440745	0.1228862	0.0417428
50	0.6564394	0.0885466	0.9814768	0.4904824	0.6475633	1.0844693	0.0183178	0.6764826	0.3364514	0.0718500
100	0.7599766	0.0246957	1.1015695	0.6430240	0.7351301	1.1489970	0.0498536	0.7709958	0.5344290	0.0393060
150	0.8698041	0.0016456	1.0576835	0.7719748	0.7221368	0.9909238	0.2251232	0.8671040	0.6114800	0.0560150
200	0.9958537	0.0155653	0.9861551	0.8641298	0.7084681	0.9964578	0.4555043	0.8969788	0.6521851	0.0714486
250	0.9315548	0.0415941	1.1010172	0.8984906	0.6640498	0.8893439	0.5530180	0.9606647	0.7049725	0.0683538
300	0.9023557	0.0305400	1.0613999	0.8132426	0.7345093	0.9284171	0.4481470	0.9853568	0.7108539	0.1252233
350	0.8810428	0.0124537	1.1041292	0.8748981	0.7388857	0.9601086	0.5212155	0.9870884	0.7796742	0.0896882
400	0.8828384	0.0321707	1.0359485	0.8844836	0.8000426	0.8855747	0.4978537	0.9854010	0.7335971	0.1227611
450	0.9050573	0.0202498	1.0540881	0.8361412	0.7755047	0.8526689	0.4275239	0.9729955	0.7765497	0.0884442
500	0.8584180	0.0163082	1.0800529	0.8732197	0.7475903	0.9832685	0.4566641	1.0006690	0.6348790	0.0649862
550	0.9609478	0.0903558	1.0221216	0.7609711	0.7472960	0.9330314	0.4568992	0.9745438	0.5090771	0.0787547
600	0.8558581	0.1237687	1.0992952	0.7334027	0.7196990	0.8214113	0.2701651	0.8993232	0.3265690	0.1100382
650	0.7707644	0.1205020	1.0622614	0.6016280	0.6671451	0.8973006	0.1014952	0.8361558	0.2182398	0.0757544
700	0.7512983	0.1423004	1.0796368	0.5331892	0.6725794	1.0096817	0.0690136	0.8033123	0.1631454	0.0511284
750	0.8436698	0.1669300	0.9879173	0.5188458	0.5860621	1.0824393	0.0381713	0.7523267	0.1766066	0.0400573
800	0.7440941	0.1564990	1.0312516	0.4413953	0.6237376	0.9543100	0.0403917	0.7174779	0.1093563	0.0451435
850	0.6411299	0.1288433	0.9736258	0.4135385	0.6057343	1.0270311	0.0268542	0.6086984	0.0961946	0.0329591
900	0.7253661	0.1657650	1.0262947	0.3359094	0.6668146	0.9095975	0.0391448	0.6141763	0.1203798	0.0541624
950	0.7658607	0.1530801	0.9655969	0.3009130	0.7010575	0.9669705	0.0230535	0.6393027	0.1705469	0.0419594
1000	0.7442874	0.1648933	0.9757571	0.3046979	0.6295382	1.1662153	0.0438783	0.6143826	0.1504909	0.0424891

0	0.7912875	0.1609496	0.8643360	0.3823103	0.4961265	0.9892686	0.0324060	0.7440745	0.1228862	0.0417428
50	0.5652187	0.2170966	0.9319225	0.4770850	0.5997740	0.9414802	0.0200423	0.7878819	0.2144786	0.3003819
100	0.6486718	0.2082515	0.8827140	0.6832870	0.5953242	0.9819845	0.0354597	0.7741277	0.3643518	0.5530484
150	0.6075143	0.2823866	0.8932154	0.8045158	0.6702447	1.1410947	0.0150190	0.8158189	0.6036809	0.6477962
200	0.6108520	0.2814822	0.8848458	0.8488036	0.7530692	1.0004344	0.0092489	0.8939098	0.7285425	0.6493818
250	0.6339920	0.1618657	0.9296459	0.8593472	0.8153548	1.0409545	0.0134111	0.9267635	0.8073142	0.7856979
300	0.7154695	0.1600274	1.0075283	0.8458130	0.7712857	0.9652448	0.0097196	0.8938975	0.7609913	0.7661661
350	0.7019684	0.1582089	0.9859315	0.9297510	0.7085628	1.0569769	0.0305095	0.9318022	0.8313616	0.7896504
