YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	0.6908369	0.5723877	0.2123177	0.2582544	0.3737817	0.3268181	0.7851372	0.3702655	0.7377266
0.2551784	0.0000000	0.6760266	0.1188593	0.2805333	0.4186794	0.3320505	0.8125703	0.2738633	0.6611659
0.5254040	0.0014856	0.0000000	0.1400797	0.2424883	0.4345519	0.3569631	0.8391196	0.3940930	0.9687376
0.7954611	0.0496822	0.0346610	0.0000000	0.2255530	0.5169397	0.4218467	0.6636300	0.2974626	0.8010232
0.2614351	0.8293038	0.7287969	0.7587436	0.0000000	0.4718535	0.3498369	0.5549492	0.4822369	0.7761748
0.3108855	0.8558362	0.8447503	0.7601733	0.0630492	0.0000000	0.6438286	0.1772344	0.0270949	0.7250218
0.2674499	0.8343183	0.6108087	0.8461846	0.0309744	0.0038901	0.0000000	0.1769344	0.0369841	1.0927591
0.1096662	0.8168217	0.3824849	0.0559812	0.5152504	0.6906704	0.9203135	0.0000000	0.4950426	0.6537817
0.4231155	0.7936126	0.3767977	0.1276378	0.4096287	0.5689431	0.6148994	0.0934879	0.0000000	0.8715961
0.1788555	0.7062453	0.5254959	0.1666957	0.3407571	0.4913699	0.4648050	0.7381195	0.4492868	0.0000000
