YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.4174450	0.7158599	0.7750592	0.6518689	0.0385739	0.0664803	0.0506972	0.1467174	0.5691226	0.7223178
0.9366730	0.3368191	0.8082373	0.6603943	0.0247020	0.0628617	0.0198799	0.1539585	0.6334791	0.6205034
0.6298233	0.7073414	0.3681192	0.7555897	0.0427957	0.0380896	0.0578286	0.2226493	0.7619500	0.6733760
0.7334414	0.6758079	0.7938918	0.3433998	0.0220644	0.0402062	0.0361244	0.1939593	0.5627366	0.5967105
0.8393280	0.8258245	0.7123260	0.7004894	0.0228916	0.0532232	0.0585680	0.2349529	0.7028062	0.6744959
0.7521096	0.7577601	0.7333092	0.7514935	0.0318154	0.0620573	0.0561440	0.2218161	0.6218670	0.7084309
0.6789593	0.7005768	0.6651481	0.5592502	0.0529333	0.0889375	0.0228355	0.2328443	0.6257346	0.7745672
0.7248485	0.6600101	0.7702499	0.6438996	0.0114670	0.0222337	0.0256932	0.1541593	0.5699845	0.6817417
0.7142596	0.7297252	0.6742758	0.4881539	0.2066369	0.5392477	0.4267205	0.6170988	0.2125460	0.4879421
0.8516725	0.5070027	0.6485284	0.6374053	0.0770282	0.0718412	0.0668292	0.3005413	0.5217853	0.3887886
