YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0271011	0.7124424	0.6615124	0.0294957	0.1895054	0.2437506	0.4547130	0.0179407	0.6286816	0.6119973
0.3088683	0.6474712	0.8211402	0.0456714	0.0096549	0.1741173	0.5351866	0.0106672	0.5517735	0.6162618
0.0154674	0.6713439	0.7621464	0.0238692	0.1369264	0.3349097	0.3541928	0.0257603	0.5424368	0.6982669
0.0192394	0.6591304	0.5947194	0.0000783	0.0934317	0.3675829	0.3027200	0.0770124	0.6375189	0.6782208
0.2153057	0.3321094	0.3979774	0.2419820	0.2031677	0.4024307	0.4965931	0.0614635	0.7563309	0.8741552
0.0036602	0.7424098	0.6771646	0.0113288	0.2618424	0.3712018	0.4675717	0.0443804	0.6607301	0.8901089
0.0145625	0.5999292	0.6607692	0.1178662	0.2332027	0.4085949	0.2428923	0.0010698	0.6060898	0.6054909
0.6068265	0.0313939	0.1101597	0.4072916	0.1297565	0.3276423	0.6451148	0.0326191	0.6607444	0.7494832
0.0133523	0.7164754	0.6541010	0.0067835	0.2693539	0.3857861	0.4433178	0.0563574	0.5558784	0.5260554
0.0112797	0.6797658	0.6004365	0.0697407	0.1348450	0.2698633	0.4554625	0.0471797	0.6727796	0.8125269
