YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1454265	0.9709849	0.2141770	0.4265687	0.3217889	0.3168389	0.2315622	1.0607634	0.6885051	0.3878662
0.2097262	1.0219547	0.1453091	0.6732974	0.4590404	0.9355801	0.0071480	0.6638806	0.9369938	0.9347612
0.2032220	1.0628035	0.4945893	0.1522754	0.0122983	0.0985982	0.2328807	0.5667823	1.0663400	0.9999994
0.1966474	0.9253504	0.3985274	0.2826700	0.3363680	0.2436958	0.2586547	0.4199860	0.7585237	0.5194867
0.3097141	0.9111499	0.1593274	0.5570965	0.5360791	0.6522294	0.1443861	0.9310983	0.7559581	0.4773920
0.2059635	0.9180958	0.1724033	0.4034241	0.0427256	0.3813830	0.2481612	0.5802654	1.0172416	1.1207310
0.1866401	1.0838059	0.2784954	0.3376730	0.6171064	0.3706451	0.2625191	0.6030742	0.9217985	0.9551712
0.2517357	0.9025390	0.0660072	0.6641470	0.7165640	0.9742913	0.0141118	0.7081060	0.8387113	0.8467070
0.2959589	0.6883672	0.0731383	0.5752888	0.3662066	0.8824251	0.0369313	0.5054444	0.9979453	1.0581755
0.1058340	1.0062191	0.3121297	0.2165658	0.3329826	0.2127296	0.2754080	0.7665320	0.9137310	0.7822451
