YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.8934626	0.9989242	0.2339914	0.8426209	0.4335417	0.1126894	0.0655058	0.9496633	0.3569131	1.0000000
0.9122126	0.9806229	0.3790086	0.7306014	0.4787527	0.2525998	0.0830680	0.9177834	0.4476791	1.0000000
0.6670819	0.8206622	0.5233760	0.7681688	0.5629267	0.4929535	0.1461325	0.8442126	0.1454414	0.4254866
0.2897509	0.9183530	0.4062512	0.5915367	0.3378746	0.3835531	0.1138075	0.9761247	0.4192202	0.7334364
0.6327815	0.5876783	0.6828340	0.8660872	0.8551766	0.5592417	0.0600402	0.9147413	0.2589193	0.8875982
0.8233834	0.7457812	0.6051581	0.8725820	0.7130604	0.5293782	0.1296184	0.9037051	0.4644276	0.8497506
0.8376859	0.9084505	0.5012817	0.7669091	0.5603170	0.3969198	0.1169272	0.9603267	0.4203540	1.0000000
0.8257219	0.6774392	0.7825602	0.8540245	0.8027807	0.5760564	0.1368483	0.8760203	0.2854024	1.0000000
0.9417311	0.4897897	0.5989594	0.8854286	0.7504570	0.7624328	0.1634108	0.7936850	0.2230652	0.6292688
0.8507990	0.3236621	0.4373667	0.7646292	0.5560957	0.7778900	0.0833911	0.8944203	0.4948924	0.9002450
