YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.1276232	0.2532196	0.8623877	0.8653804	0.7887841	0.4420449	0.2508673	0.0281908	0.8317307	0.5683886
0.1260125	0.2281826	0.6388831	0.4237631	0.6413291	0.8784174	0.5289643	0.0127833	0.5546728	0.6240015
0.0988799	0.1638902	0.9811681	0.4516106	0.7288822	0.5707899	0.2815371	0.0053669	0.7751855	0.2703712
0.1254923	0.2241708	0.9515097	0.7196851	0.6596136	0.6389154	0.2495922	0.0132554	0.9021012	0.4863663
0.1208079	0.3322484	0.7832162	0.4215337	0.6041563	0.8121597	1.0597170	0.4122886	0.2197273	0.5964090
0.0162160	0.2889846	0.8789233	0.5452888	0.7099424	0.7280651	0.2233063	0.0045792	0.8605256	0.4827589
0.0245648	0.1920408	0.8232859	0.4928211	0.6790871	0.7835434	0.4286099	0.0329134	0.7401962	0.5663652
0.0211292	0.2354466	0.8670574	0.6442814	0.8814049	0.3127321	0.1869554	0.0080799	0.9452760	0.5172984
0.1229814	0.6847127	0.1062560	0.1479963	0.2126674	0.9091493	0.6462522	0.0952826	0.2508348	0.3402280
0.1398078	0.1680650	0.9434815	0.8332835	0.7607722	0.2853912	0.1209337	0.0278161	0.9473454	0.3667229
