"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.4806141	0.3924623	0.4858158	0.1376676	0.2355496	0.2972684	0.8498489	0.1682758	0.5024263	0.3069628
50	0.3762733	0.4706522	0.2792704	0.0491300	0.1211887	0.2887677	0.7460945	0.2266154	0.5289942	0.2593622
100	0.3317712	0.4977114	0.2846576	0.0262606	0.1325636	0.5256104	0.7042356	0.2373032	0.4536320	0.3314235
150	0.1345285	0.5984078	0.2469744	0.0547935	0.1701069	0.3644126	0.7222082	0.2954000	0.3310526	0.4598450
200	0.1404675	0.4141604	0.2426621	0.0544774	0.1595443	0.3157518	0.7364337	0.2089321	0.2608738	0.5817567
250	0.1376882	0.5421498	0.3107319	0.1223144	0.1991412	0.4276497	0.6262318	0.1970380	0.2913896	0.5449379
300	0.1110732	0.5675915	0.2325590	0.1363847	0.2362021	0.5188479	0.7423576	0.2612863	0.2306866	0.6460369
350	0.1144164	0.4999805	0.1721118	0.2617368	0.2716073	0.4784558	0.7138334	0.1982843	0.1992841	0.5965058
400	0.1154807	0.7238961	0.1161679	0.1786564	0.2174366	0.4618632	0.7972085	0.1578131	0.2775170	0.5476883
450	0.0677700	0.8398509	0.0728365	0.2647959	0.1903902	0.3789143	0.8019013	0.1198649	0.2741556	0.4517719
500	0.0498575	0.7277158	0.0484173	0.1192438	0.1747855	0.3511529	0.7708189	0.1733767	0.2488100	0.4846171
550	0.0625613	0.8394379	0.1294364	0.0917253	0.1632148	0.3473258	0.6306529	0.2072210	0.2989173	0.4713773
600	0.0966856	0.7586064	0.3159329	0.0416420	0.1435518	0.3964658	0.6792040	0.2349041	0.3429027	0.5103199
650	0.1754321	0.5746500	0.4676496	0.1218061	0.1545238	0.3032713	0.7077096	0.2784229	0.3447197	0.7400896
700	0.1880357	0.5187815	0.6818713	0.0403233	0.2520202	0.3713739	0.7723340	0.1847248	0.2690421	0.5596469
750	0.2355383	0.4806044	0.6584223	0.0597685	0.1210779	0.4459933	0.6618774	0.2307402	0.2130289	0.6153349
800	0.3243051	0.2920588	0.7315608	0.0266427	0.1974515	0.4145813	0.7961800	0.3057782	0.2387535	0.4805472
850	0.5504144	0.3013273	0.5637125	0.1127764	0.1607432	0.4519850	0.6742904	0.4114143	0.2355276	0.4522999
900	0.5111238	0.2851342	0.7004295	0.1497162	0.2022320	0.3682214	0.6107288	0.2539241	0.2251972	0.3699538
950	0.5921514	0.2938233	0.4493423	0.1370722	0.1895301	0.3653434	0.6296692	0.1682836	0.3986437	0.2973634
1000	0.5460341	0.3050673	0.2391676	0.1932153	0.1814855	0.3764026	0.8790880	0.2044847	0.4779276	0.2815349

0	0.4337702	0.3407462	0.3546222	0.1491442	0.1857035	0.3213100	0.9394229	0.1775556	0.6758135	0.2522878
50	0.4191131	0.3549258	0.2465501	0.1089704	0.1715779	0.3389054	0.8434119	0.1733685	0.6801742	0.2976262
100	0.2792401	0.5031925	0.2591481	0.0458696	0.0863100	0.2855260	0.8124514	0.1658551	0.5982765	0.4300050
150	0.4096640	0.4597236	0.1907028	0.0431918	0.1302401	0.3722948	0.7067037	0.1682309	0.4447786	0.4952103
200	0.2441799	0.5443732	0.2092363	0.0605308	0.1736309	0.3507293	1.0811714	0.1225323	0.4978453	0.4506111
250	0.2244592	0.6766855	0.2454213	0.0643726	0.1330753	0.3192272	0.8036767	0.1088950	0.5336966	0.4069793
