YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.4612687	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.9901422	0.0745022	0.6519565
0.9610083	0.0573151	0.1870358	0.2701716	0.9999923	0.0243464	0.4167351	0.9901433	0.0744976	0.6389841
0.9301872	0.1029820	0.0937490	0.2701710	0.9999948	0.0217840	0.4167461	0.9901426	0.0745003	0.6731862
0.7641901	0.4137065	0.6930597	0.1350857	0.9999936	0.0230577	0.4451434	0.9894151	0.0775313	0.6556585
0.9300415	0.1032011	0.0971325	0.4783007	0.4999975	0.0218206	0.4167462	0.9901426	0.0745003	0.6726537
0.9225316	0.1147220	0.1875134	0.2701698	0.9999995	0.0116656	0.4167556	0.9901422	0.0745022	0.6519560
0.9225322	0.1147207	0.1875057	0.2701760	0.9999745	0.0335875	0.2083779	0.9901429	0.0744990	0.5506277
0.9225317	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.4951082	0.0745022	0.6519565
0.9225318	0.1147217	0.1875114	0.2701713	0.9999934	0.0233166	0.4170693	0.9971407	0.0372535	0.6521170
0.9225724	0.1146384	0.1870198	0.2705691	0.9984066	0.1024754	0.4167555	0.9901427	0.0745000	0.3260378
