YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.2243799	0.1394092	0.9032933	0.0968292	0.3674856	0.9015111	0.0238416	0.6543634	0.1781487	0.0572981
0.6345380	0.0596466	0.9085955	0.3271680	0.5192707	0.7838631	0.0752370	0.5262751	0.1311215	0.0235839
0.2434128	0.3829526	0.4371215	0.0656509	0.3387826	0.8640323	0.0090679	0.4173604	0.1136712	0.0770916
0.5344595	0.1769540	0.8580352	0.1565984	0.4856301	0.6935680	0.0208187	0.6575911	0.1309577	0.0339505
0.6782508	0.1078547	0.7486407	0.2176593	0.2756356	0.7759809	0.0243598	0.6168814	0.0763004	0.0582180
0.5175259	0.0880282	0.7453968	0.2436577	0.2883772	0.4021405	0.0142654	0.6089179	0.0790379	0.0381205
0.4753746	0.1586787	0.5941592	0.3756120	0.5128151	0.7959726	0.0056657	0.5796719	0.1585995	0.0448660
0.5587854	0.2108014	0.7632463	0.2133378	0.4235284	0.7608807	0.0150719	0.2177751	0.1440368	0.0430356
0.5429267	0.0941573	0.6486743	0.3942180	0.4258850	0.7802142	0.0160826	0.4980828	0.0507951	0.0458126
0.6153407	0.0933856	0.9845223	0.3162240	0.4582222	0.7981972	0.0142303	0.5155503	0.1216628	0.0523106
