YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.6799766	0.3397308	0.4644846	0.7502967	0.6711430	0.2299348	0.8288356	0.5938270	0.8945996	1.0000000
0.4732456	0.0872089	0.4159599	0.5532746	0.9745545	0.1285303	0.9282791	0.4702047	0.7814231	0.9538549
0.5003018	0.8846026	0.5288138	0.8534624	0.2769657	0.3202614	0.6558803	0.4398887	0.7117558	1.0000000
0.5711938	0.1610681	0.3713440	0.6191054	0.8633855	0.1309619	0.5685758	0.5675950	0.7117559	1.0000000
0.6063164	0.2432847	0.4154427	0.6785881	0.7736761	0.2089582	0.8962024	0.5034278	0.6668822	0.7233258
0.6380843	0.2418883	0.4042480	0.6631120	0.7753933	0.2085632	0.8976185	0.2935238	0.5303293	0.8009924
0.9527993	0.8324350	0.2699232	0.4897555	0.0121793	0.5265244	0.4209220	0.5231405	0.8275372	0.9797825
0.4227691	0.7602658	0.6551419	0.8205195	0.3901935	0.2735621	0.7298789	0.3302444	0.6669257	0.9401467
0.4839881	0.1305923	0.4700062	0.5407985	0.9975276	0.0802176	0.8456358	0.6414697	0.8029421	1.0000000
0.8408843	0.9156805	0.6055255	0.9978546	0.1077640	0.4247978	0.4335737	0.1937170	0.5497837	0.8182851
