"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	1.0001148	0.4183608	0.5178865	0.9473146	0.1093572	0.6679245	0.9790024	0.5090543	1.0362163	0.2285193
50	0.8735798	0.4046334	0.5494902	0.9162712	0.0563877	0.7165582	0.8961089	0.5635949	0.8658371	0.2535042
100	0.9148296	0.3452859	0.4949693	1.0326259	0.0388671	0.7398459	0.9702682	0.6134697	0.9246966	0.2216328
150	1.0420381	0.3566622	0.5124391	0.9499877	0.0314477	0.6755342	0.9508730	0.6454412	0.9851388	0.2086901
200	1.0183511	0.3199777	0.5241245	1.0189065	0.0387050	0.7113198	1.0629920	0.7871432	0.9663222	0.2368523
250	1.0188440	0.3371691	0.4635543	1.0685900	0.0379281	0.6513221	1.0356399	0.7863683	0.9065226	0.2241891
300	0.9156265	0.3295391	0.5331681	1.0191129	0.0239997	0.6080184	0.9125910	0.7850520	0.9527774	0.2848821
350	0.9525895	0.3592713	0.5554188	0.8593118	0.0231950	0.6477145	0.9958165	0.8364532	0.8831340	0.2924155
400	0.9880537	0.3654170	0.5641142	0.9980395	0.0369505	0.7113455	0.9971204	0.7435781	0.9801800	0.2838116
450	1.0290552	0.3774473	0.5422148	0.8826598	0.0410846	0.7285985	0.9240212	0.7552205	0.8740556	0.3324988
500	1.1049756	0.3050378	0.4886310	1.0148870	0.0291482	0.7044890	1.0027420	0.7041343	0.7740617	0.3265524
550	1.1050136	0.3623495	0.4430392	0.9981351	0.0637419	0.7301262	1.0520203	0.6894777	0.8422093	0.2624318
600	1.0618397	0.3868063	0.4189118	0.9217709	0.0894147	0.6999523	0.9721170	0.6179022	0.8738811	0.2594356
650	0.9962561	0.3774142	0.4838118	1.0207767	0.0999041	0.7326179	1.0209891	0.5410019	0.8350408	0.2430043
700	0.9872744	0.3286742	0.5214489	1.0532712	0.0944325	0.7109444	1.0443396	0.5372258	0.8946939	0.1822474
750	0.9787514	0.3626447	0.4699769	1.0228644	0.1395090	0.7071204	0.8785340	0.5818103	0.9397383	0.1669979
800	0.9511666	0.3492384	0.4572495	1.0286600	0.0969428	0.6397844	1.0248274	0.5448194	0.9529104	0.1989698
850	0.9623105	0.3622358	0.4923400	1.0089755	0.1344908	0.7097335	0.9458986	0.4852059	1.0107481	0.2042723
900	0.9915929	0.3611526	0.4337861	1.0553127	0.0980575	0.8129367	0.8477262	0.4355976	1.0132139	0.2116420
950	1.0441281	0.3811350	0.4225157	1.1335318	0.0422889	0.7447252	0.9010726	0.4908119	0.8887463	0.2543975
1000	1.1332628	0.3673127	0.4320434	1.0356677	0.0884404	0.7596866	0.8582491	0.5353626	0.8766713	0.2903483

0	1.0001148	0.4183608	0.5178865	0.9473146	0.1093572	0.6679245	0.9790024	0.5090543	1.0362163	0.2285193
50	0.9562645	0.2953909	0.4558518	0.8851902	0.0588912	0.8613119	1.0434420	0.4899513	0.9903032	0.1419279
100	0.9695193	0.2244247	0.4296093	0.9948553	0.0173798	0.9164927	0.9949086	0.5530126	0.9577073	0.0656579
150	0.9987333	0.1979933	0.3695940	0.9884692	0.0165445	0.9053506	0.9926215	0.4934639	0.9477773	0.0277804
200	0.9925938	0.1733433	0.3860917	0.9202239	0.0128624	0.8157808	0.9558090	0.5923544	0.9651582	0.0141384
250	0.9608008	0.1393050	0.4275128	0.9350358	0.0170151	0.7866797	0.9625758	0.7732476	0.9931960	0.0013961
300	0.9786176	0.1500649	0.4363610	0.9755717	0.0152292	0.7695340	0.9120166	0.8335127	1.0014993	0.0021205
350	0.9501200	0.1783269	0.4255602	1.0104143	0.0118033	0.9135911	0.9560012	0.9577184	1.0647455	0.0001474
400	0.9686406	0.1542165	0.3330583	0.9754275	0.0199227	0.8881002	0.9831561	1.0022759	1.0481954	0.0032317
450	1.0119427	0.1663939	0.3962977	0.9848362	0.0103946	0.8624655	1.0203808	0.9214032	0.9557531	0.0024796
500	0.9963589	0.1470252	0.4480254	0.9537760	0.0088406	0.9060412	0.9404756	0.9896118	0.9195099	0.0003179
550	0.9067984	0.2786688	0.4211013	0.9192500	0.0386550	0.7967746	1.0348726	0.8802638	0.9526435	0.1240350
600	0.9314874	0.3635145	0.4814799	0.8877125	0.0866538	0.8083994	0.9783006	0.7947283	0.9937260	0.2032670
650	1.0567366	0.3731617	0.3901506	0.9831474	0.1064356	0.7594253	0.9856198	0.5944718	0.9352191	0.2096551
700	0.9085604	0.3750203	0.4172694	0.9946774	0.0852184	0.7950537	0.9066391	0.5157460	0.9251935	0.2584491
750	1.0790650	0.5047641	0.4450809	1.0159434	0.0873532	0.7857736	0.9230496	0.5284229	0.8831305	0.2534083
800	1.0031070	0.5602731	0.4503042	1.0320827	0.0891336	0.7328771	0.9824291	0.4656250	0.9342483	0.2370961
850	1.0953994	0.5657697	0.4191226	0.9281273	0.1094256	0.7988856	0.8318824	0.5522906	0.9808769	0.1890616
900	1.0301367	0.4637294	0.4956520	1.0131994	0.0972859	0.8009848	0.8940725	0.5499161	1.0109884	0.1709487
950	0.9723659	0.4623144	0.4700363	0.9364464	0.1135913	0.7592423	0.8605347	0.5305131	1.0699923	0.1476523
1000	1.0324192	0.4009089	0.5065218	1.0179703	0.0715529	0.6075448	0.9937037	0.5430863	0.9305567	0.1768233

0	1.0001148	0.4183608	0.5178865	0.9473146	0.1093572	0.6679245	0.9790024	0.5090543	1.0362163	0.2285193
50	1.0644094	0.4151080	0.4410345	1.0491474	0.0739294	0.7429026	0.9938895	0.4837403	0.8595584	0.1672090
100	1.0544888	0.4169788	0.4460268	1.0770734	0.0396764	0.7895409	0.9580625	0.4773127	0.8231783	0.1916165
150	1.0025937	0.4208560	0.4508483	0.9753982	0.0394308	0.7612904	0.8841775	0.5334778	0.7644240	0.2051009
200	0.9835743	0.3898099	0.4669866	0.8329296	0.0276940	0.7432937	0.9328743	0.5092857	0.9032886	0.2801795
250	1.0518179	0.4157683	0.4857696	0.8627476	0.0232909	0.7792634	0.9751942	0.5382682	0.9032488	0.2512326
300	1.0187137	0.3556920	0.5293963	0.9943621	0.0483550	0.7356823	0.9462986	0.4481406	0.8888355	0.1939643
350	0.9593370	0.3486586	0.4687806	0.9920782	0.0398185	0.7577293	0.8897972	0.4881355	0.9541755	0.2116371
400	0.9751035	0.4206640	0.4744605	0.9978776	0.0422598	0.6951510	1.0306130	0.4938097	1.0568610	0.2022453
450	1.0249088	0.3627753	0.4964190	1.0403828	0.0318475	0.7056071	0.9325399	0.4527010	1.0131401	0.2093794
500	0.9864040	0.3152635	0.4399966	1.0310365	0.0167197	0.7098925	0.8760164	0.4589539	1.0385340	0.1913031
550	0.9354444	0.3761113	0.4633141	1.0362976	0.0584726	0.6297469	0.9402590	0.5394134	1.0561451	0.2401072
600	0.9847310	0.4385420	0.4738476	1.0234417	0.1049011	0.6262110	0.8744584	0.5818915	1.0273230	0.2135919
650	0.9543097	0.3921162	0.5397197	0.9456226	0.1153285	0.6058906	0.9454542	0.4648291	0.9861368	0.2086234
700	1.0434811	0.3211785	0.5281924	0.9493887	0.1232756	0.6793929	0.9230236	0.4292411	0.9864436	0.2300544
750	1.0556803	0.3950997	0.4911011	1.0394549	0.1313207	0.7122129	0.9658345	0.5170141	1.0085857	0.2470634
800	1.0539281	0.3755851	0.4640379	1.0090822	0.1150167	0.7275411	0.8757475	0.5559493	1.0185740	0.2432575
850	0.9947876	0.3735252	0.5315991	0.9428164	0.1034343	0.6324930	0.9285836	0.5439252	0.9382324	0.2008238
900	0.9289003	0.4001230	0.4943734	0.9726462	0.1107305	0.6296070	0.9263106	0.4477092	0.9643519	0.2166493
950	0.9198339	0.3968873	0.5009725	1.0081532	0.1078128	0.6054600	0.8150991	0.5182364	1.0068177	0.2272363
1000	0.9203876	0.3523240	0.4995284	1.0541215	0.1263103	0.6639510	0.8695405	0.4989416	0.9642001	0.1788216

0	1.0001148	0.4183608	0.5178865	0.9473146	0.1093572	0.6679245	0.9790024	0.5090543	1.0362163	0.2285193
50	1.0220751	0.3062735	0.5352406	1.0529267	0.1150786	0.5827059	0.9914666	0.6416238	0.8043392	0.1938383
100	0.9272094	0.3592949	0.5714622	1.0152831	0.1301280	0.6292292	0.9898668	0.6947416	0.6762236	0.2087869
150	0.9218222	0.3849567	0.5580559	1.0852898	0.1209182	0.6636893	1.0372360	0.6867311	0.6513332	0.1915749
200	1.0116627	0.5120904	0.5284326	0.9362858	0.0867312	0.7415517	1.0314595	0.7456351	0.7549502	0.2051299
250	1.0945265	0.5032978	0.5389157	0.9115804	0.1353572	0.6977397	0.9557682	0.7341817	0.6310317	0.1437954
300	1.0142225	0.4427172	0.5027372	0.8998866	0.1012482	0.6968789	0.9096536	0.7589745	0.6569140	0.1408427
