YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.8358500	1.0085532	0.2256519	0.8690984	0.4167608	0.1274051	0.0409727	0.9588936	0.4041577	0.9038028
0.9424525	1.0132095	0.4268998	0.6853817	0.5660342	0.2394116	0.0932660	0.9629714	0.5132306	0.9097232
0.7273777	0.8853551	0.5312917	0.7296799	0.5708955	0.5288770	0.1461794	0.9196944	0.1285997	0.4525149
0.2744624	0.8733539	0.4290135	0.7016997	0.3793392	0.4326948	0.0936422	1.0626411	0.4991712	0.8376088
0.6535759	0.6424245	0.6709049	0.8121781	0.8785497	0.4671787	0.0709809	0.9045877	0.2535074	0.8783938
0.8073781	0.8209319	0.5422235	0.9017240	0.7708941	0.5295131	0.1216889	0.8208454	0.4804426	0.8924832
0.9324014	0.8248384	0.5230448	0.7580150	0.5497621	0.4161538	0.0933421	0.9583912	0.4511506	1.0085544
0.8819628	0.5874611	0.7354920	0.8694018	0.7605726	0.6260989	0.1510163	1.0314721	0.2837279	1.0249221
0.8638917	0.3642260	0.5241319	0.8603872	0.7196835	0.8714940	0.2146529	0.8667645	0.2492337	0.6873230
0.8460590	0.2779068	0.4814198	0.7951150	0.5291458	0.8210793	0.0857811	0.9055292	0.4847004	0.8403189
