YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.9992963	1.0000000	0.6939981	0.1847138	0.0169734	0.9939058	0.9015238	0.3433933	0.7590525	0.5219266
0.9911109	0.6089118	1.0000000	0.5481588	0.0092554	0.9939141	0.7825891	0.3900073	0.9039754	0.3193252
0.9900202	0.8955220	1.0000000	0.1351563	0.0242229	0.9939113	0.7956950	0.4057434	0.8389231	0.4673799
0.9904218	0.9590211	0.9593426	0.2224623	0.0697474	0.9936680	0.3049471	0.3947469	0.4135213	0.6942258
0.8669954	0.3567516	0.7798238	0.3130134	0.0248229	0.9999904	0.8429111	0.4091018	0.8255785	0.4772663
0.9994914	1.0000000	1.0000000	0.1645557	0.0692285	0.9937985	0.3677324	0.3837254	0.4832050	0.6912488
0.9902664	0.9303734	1.0000000	0.2181690	0.0795176	0.9998492	0.9026283	0.3418279	0.4534301	0.7123931
0.9906048	1.0000000	1.0000000	0.1277368	0.0096144	0.9939085	0.6703542	0.3790703	0.7932263	0.4998273
0.9888681	0.7941369	1.0000000	0.2145367	0.0626091	0.9998040	0.6785316	0.5571162	0.4309877	0.7293143
0.9861059	0.6875542	1.0000000	0.1005944	0.0224475	0.9999853	0.7991575	0.4513527	0.6819154	0.5688017
