"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W

0	0.7921121	0.9269721	0.4424046	0.7810584	0.5774657	0.3707776	0.1200769	0.9451386	0.3612398	1.0000000
50	0.7922540	0.8766961	0.4435222	0.9701459	0.5874465	0.6348616	0.1200768	0.9451438	0.3612396	1.0000000
100	0.7946879	0.7169418	0.4536908	0.9903410	0.6067083	0.7453238	0.1200759	0.9451510	0.3612385	1.0000000
150	0.8016120	0.5724237	0.4703398	0.9926977	0.6178774	0.7934009	0.1200748	0.9451544	0.3612371	1.0000000
200	0.8114754	0.4886174	0.4837058	0.9930809	0.6209930	0.8166830	0.1200740	0.9451555	0.3612361	1.0000000
250	0.8211801	0.4459978	0.4904415	0.9931680	0.6204576	0.8293316	0.1200736	0.9451557	0.3612357	1.0000000
300	0.8288120	0.4243902	0.4923469	0.9931789	0.6192721	0.8364473	0.1200734	0.9451557	0.3612355	1.0000000
350	0.8340305	0.4131119	0.4921314	0.9931696	0.6185225	0.8402387	0.1200733	0.9451557	0.3612355	1.0000000
400	0.8373001	0.4072005	0.4915069	0.9931604	0.6182774	0.8420426	0.1200733	0.9451556	0.3612355	1.0000000
450	0.8392337	0.4042206	0.4911120	0.9931561	0.6183068	0.8427784	0.1200733	0.9451556	0.3612355	1.0000000
500	0.8403273	0.4028277	0.4909968	0.9931555	0.6184086	0.8430271	0.1200733	0.9451556	0.3612355	1.0000000
550	0.8404746	0.4668492	0.4907608	0.8200120	0.6157042	0.5875112	0.1200734	0.9451534	0.3612355	1.0000000
600	0.8356085	0.6381019	0.4874458	0.8001185	0.6059881	0.4808709	0.1200738	0.9451477	0.3612362	1.0000000
650	0.8247443	0.7759868	0.4787128	0.7943948	0.5941357	0.4352216	0.1200747	0.9451434	0.3612373	1.0000000
700	0.8133234	0.8488438	0.4669915	0.7894699	0.5851702	0.4132930	0.1200756	0.9451411	0.3612383	1.0000000
750	0.8048155	0.8831418	0.4564448	0.7855078	0.5805296	0.4000313	0.1200761	0.9451400	0.3612389	1.0000000
800	0.7994646	0.9002663	0.4494540	0.7831340	0.5789943	0.3903576	0.1200765	0.9451393	0.3612393	1.0000000
850	0.7963548	0.9101338	0.4459363	0.7821004	0.5787680	0.3831339	0.1200767	0.9451390	0.3612395	1.0000000
900	0.7945875	0.9164819	0.4445528	0.7817713	0.5786914	0.3781641	0.1200768	0.9451388	0.3612397	1.0000000
950	0.7935689	0.9206518	0.4440085	0.7816429	0.5784196	0.3750906	0.1200769	0.9451387	0.3612397	1.0000000
1000	0.7929652	0.9232870	0.4436151	0.7815044	0.5780534	0.3733307	0.1200769	0.9451386	0.3612398	1.0000000

0	0.7921121	0.9269721	0.4424046	0.7810584	0.5774657	0.3707776	0.1200769	0.9451386	0.3612398	1.0000000
50	0.7919605	0.9271544	0.4192847	0.9260677	0.4957810	0.3698111	0.1201979	0.9399924	0.3027458	1.0000000
100	0.7908709	0.9283807	0.3675904	0.9353928	0.4764007	0.3601615	0.1213080	0.9276705	0.2856965	1.0000000
150	0.7889644	0.9338409	0.3358112	0.9338516	0.4857412	0.3392099	0.1233265	0.9185833	0.2823192	1.0000000
200	0.7871423	0.9435762	0.3326824	0.9345748	0.5030898	0.3180001	0.1251886	0.9145753	0.2826037	1.0000000
250	0.7857781	0.9531680	0.3443837	0.9364933	0.5118750	0.3067789	0.1263597	0.9134388	0.2832725	1.0000000
