YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0553746	0.0688416	0.0630832	0.1653833	0.3176263	0.6686961	0.0791523	0.0153077	1.0428622	1.0677013
0.1546589	0.0335345	0.1417696	0.1862484	0.2420396	0.5998282	0.0747252	0.0043099	1.0981560	0.9942971
0.1734238	0.0977486	0.0521870	0.1980327	0.1847423	0.6062589	0.0613884	0.0208673	0.9430757	1.0908064
0.1024608	0.0790154	0.0373666	0.0925373	0.2824575	0.6307947	0.0680524	0.0088990	0.9584313	0.9407263
0.1983649	0.1387036	0.2433971	0.2651327	0.1607833	0.6200149	0.0817894	0.0193452	1.0080433	1.0036085
0.3890162	0.5594291	0.8542006	0.4270701	0.1014100	0.3176397	0.0862018	0.2887534	0.8000436	0.8644450
0.2933720	0.2160003	0.7377659	0.5101600	0.0728202	0.5410255	0.0378596	0.0438118	0.8361820	1.0669689
0.1715827	0.0544688	0.0579370	0.1850588	0.2395648	0.5043975	0.0755688	0.0127665	0.9357423	1.0071747
0.1572777	0.0667244	0.0785890	0.1577476	0.3288394	0.6860994	0.0667560	0.3126007	0.4998633	1.1218858
0.2155705	0.0701371	0.1383705	0.2166754	0.1839762	0.6221257	0.0645828	0.0161944	0.8721235	0.5318986
