"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.0590468	0.7170274	0.0333748	0.7061011	0.5232054	0.5321010	0.4963708	0.8217760	0.5487672	0.7732107
50	0.0812219	0.5766591	0.0177355	0.7053734	0.5390018	0.5304381	0.6082055	0.6339279	0.7201032	0.6455605
100	0.0570196	0.6464034	0.0179833	0.7302265	0.5354626	0.6270071	0.6637950	0.5775144	0.5430807	0.6529762
150	0.0601397	0.7172115	0.0406089	0.6675193	0.5964608	0.6547894	0.5613720	0.6597186	0.6817994	0.6266892
200	0.0454611	0.6209041	0.0328040	0.7469499	0.6903211	0.5000365	0.6878929	0.7390197	0.6429099	0.6116330
250	0.0681942	0.7607421	0.0231852	0.7009692	0.6157798	0.5656470	0.5278411	0.7123172	0.6459285	0.7511918
300	0.0519555	0.6450661	0.0066955	0.6925553	0.6026767	0.4580128	0.6380262	0.7986617	0.5973164	0.5934992
350	0.0979785	0.6754067	0.0289375	0.6996282	0.5619144	0.6503121	0.5053035	0.7398276	0.6558214	0.7888302
400	0.0600936	0.7122161	0.0456082	0.7837449	0.6618866	0.5694651	0.5502830	0.7692239	0.7712111	0.8203190
450	0.1174432	0.7238658	0.0687785	0.7846614	0.5814590	0.4926928	0.4920151	0.7526485	0.7511404	0.8070331
500	0.0546056	0.7310970	0.0179307	0.5966113	0.5944027	0.4640386	0.5312012	0.7060903	0.8782147	0.6280640
550	0.0339678	0.7218650	0.0198702	0.6827835	0.6222287	0.4931069	0.5715646	0.5604372	0.8643319	0.6335464
600	0.0537056	0.6528804	0.0129710	0.7487501	0.6545031	0.5533531	0.7471856	0.9088291	0.4994366	0.6858867
650	0.0563097	0.7297277	0.0167116	0.7426822	0.5711916	0.5350158	0.6146474	0.6774199	0.5881487	0.8098786
700	0.0695556	0.5670053	0.0154022	0.6984416	0.5817519	0.6167979	0.7162658	0.7897172	0.5153671	0.7905163
750	0.0857499	0.7490758	0.0109411	0.6733551	0.4919935	0.6570414	0.6678464	0.7179579	0.5339285	0.5280079
800	0.1053524	0.6629266	0.0235211	0.5814158	0.5888711	0.5435523	0.6070410	0.8453364	0.7495824	0.5371420
850	0.0801317	0.7633834	0.0304153	0.6399677	0.5911236	0.6359343	0.4997889	0.6772706	0.6287315	0.6502040
900	0.0502592	0.7953764	0.0243006	0.7251096	0.4973477	0.4940256	0.6849914	0.7734758	0.6579299	0.6144477
950	0.0521855	0.8025918	0.0108384	0.7108819	0.5448689	0.4868035	0.5632562	0.7096846	0.5795714	0.5760860
1000	0.0550968	0.6069574	0.0240095	0.6594366	0.5052150	0.5543408	0.5351277	0.8475021	0.4599480	0.5883790

0	0.0524439	0.6102026	0.0277734	0.7011069	0.5771812	0.6085836	0.4558426	0.8714000	0.5727020	0.7856240
50	0.0754991	0.6218142	0.0185476	0.6164470	0.6100916	0.5279895	0.5888559	0.6640790	0.6116924	0.5296923
100	0.0771335	0.5853719	0.0119491	0.7737783	0.5821052	0.5561683	0.5117644	0.5787375	0.6322778	0.7056176
150	0.0330097	0.5420826	0.0110335	0.5832550	0.6490614	0.5799421	0.6392797	0.7391324	0.5739119	0.6150871
200	0.0756986	0.8035082	0.0031881	0.8362141	0.6603318	0.5411639	0.6158861	0.7242076	0.6038784	0.6625248
250	0.0682866	0.6496410	0.0176425	0.8338243	0.4333130	0.6404021	0.7577921	0.8470374	0.8042913	0.6396465
300	0.0633348	0.4624746	0.0409532	0.8013970	0.5182274	0.5869772	0.7772104	0.7136836	0.6690561	0.6022048
350	0.0664145	0.4897289	0.0216851	0.6380641	0.4989682	0.6151356	0.7964695	0.6664089	0.6320193	0.6051100
400	0.1012363	0.5358876	0.0156756	0.5658344	0.4427235	0.5833507	0.6573623	0.5721916	0.5215400	0.6268595
450	0.0811521	0.4451303	0.0091026	0.5664281	0.5266028	0.4609717	0.6980828	0.7450556	0.6784544	0.6015932
500	0.0520701	0.4841098	0.0382532	0.6811661	0.4992628	0.5351340	0.6916971	0.7372734	0.7178836	0.6099270
550	0.0697127	0.4850324	0.0283902	0.7315786	0.6166832	0.6052811	0.7651983	0.7299892	0.6544009	0.7530564
600	0.1338250	0.4972492	0.0144961	0.6177408	0.5829461	0.6088943	0.6238904	0.6124891	0.5777521	0.6972097
650	0.0570539	0.6113188	0.0249784	0.6780081	0.5153801	0.5011626	0.6002998	0.6931966	0.6300043	0.6977408
700	0.0812813	0.8487530	0.0249376	0.5418204	0.6029542	0.5094286	0.5090964	0.6593897	0.6064806	0.6659664
750	0.1016658	0.7262580	0.0280317	0.7293011	0.6558277	0.6013147	0.6568135	0.8180144	0.5202515	0.7682241
800	0.0493800	0.5908503	0.0153569	0.5821039	0.6343686	0.4981998	0.6827722	0.7919646	0.5392000	0.6592186
850	0.0488752	0.6022902	0.0116641	0.6131178	0.6052949	0.5364299	0.6530432	0.6908545	0.5369181	0.7918781
900	0.1442370	0.8280512	0.0094815	0.5507802	0.5408945	0.5253288	0.6135696	0.7771052	0.4538603	0.7538776
950	0.0705753	0.8180577	0.0430904	0.8019249	0.5910690	0.4613602	0.6002795	0.6434408	0.6094324	0.7964361
1000	0.0416635	0.7523630	0.0291021	0.6980247	0.6049086	0.5293389	0.5184007	0.8072847	0.6197237	0.7735906

0	0.0609555	0.6625784	0.0185544	0.6961167	0.5883692	0.5217311	0.5192944	0.8175974	0.5359012	0.6880383
50	0.0401799	0.5592430	0.0230575	0.6118377	0.5600462	0.6019963	0.5718527	0.5152010	0.4304660	0.6734033
100	0.0182897	0.6192973	0.0278955	0.7177787	0.5964606	0.5376772	0.5323889	0.3240320	0.5859076	0.7305906
150	0.0086077	0.6271862	0.0195391	0.7130397	0.5163416	0.5597614	0.3705980	0.2012910	0.5446395	0.7636397
200	0.0019914	0.5731580	0.0368999	0.6966807	0.5564558	0.4402436	0.2448975	0.1235219	0.5856895	0.6184961
250	0.0038220	0.5289741	0.0247027	0.7127187	0.5156293	0.4613341	0.1576819	0.1251724	0.5410053	0.5702735
300	0.0035041	0.7192611	0.0297009	0.7375416	0.4727006	0.4172641	0.1237335	0.1885188	0.5726079	0.5333043
350	0.0029427	0.8354325	0.0578770	0.6808579	0.6328867	0.2495457	0.0839419	0.1395854	0.6693105	0.6015456
400	0.0004852	0.6665803	0.0195672	0.7280546	0.5410767	0.3145546	0.0609201	0.1332647	0.5096725	0.5331407
450	0.0000069	0.6394353	0.0125987	0.7706906	0.6044921	0.2380330	0.0510965	0.1195745	0.6995900	0.5241598
500	0.0025402	0.6601067	0.0501066	0.7554523	0.6292807	0.2159850	0.0531616	0.1104516	0.6536045	0.6181907
550	0.0197275	0.6824285	0.0159128	0.7239398	0.7637164	0.1457956	0.0858370	0.4537403	0.6339287	0.8004936
600	0.0982427	0.7225694	0.0068732	0.7093780	0.6926416	0.2796488	0.1308472	0.5112486	0.6048263	0.5475909
650	0.0682548	0.7030828	0.0214730	0.8374919	0.6454805	0.3380294	0.3649732	0.6785602	0.5839114	0.6489732
700	0.0466315	0.6202793	0.0190099	0.7239023	0.5457422	0.5229261	0.4573783	0.6186389	0.5462808	0.8419846
750	0.0523713	0.6801066	0.0302446	0.6700789	0.5992636	0.5681185	0.6502121	0.7995328	0.4883302	0.7370558
800	0.0836323	0.7414288	0.0065537	0.7173719	0.6011789	0.6064814	0.5670620	0.8061690	0.5777138	0.7258754
850	0.0628491	0.8361767	0.0366597	0.7506635	0.5748295	0.4543770	0.5842913	0.6676664	0.5720236	0.8519836
900	0.0334727	0.7433578	0.0423698	0.9496821	0.6088229	0.5976784	0.6604408	0.7739673	0.6453152	0.7074645
950	0.1114313	0.6673168	0.0190937	0.8948882	0.6563909	0.5472619	0.5874469	0.7136218	0.5450217	0.7387690
1000	0.1109106	0.6692958	0.0102096	0.6748338	0.6601035	0.6469184	0.5693735	0.7776809	0.4107215	0.8530644

0	0.0925031	0.7214685	0.0246909	0.5869543	0.5490995	0.4964658	0.4481375	0.9732144	0.4508171	0.6448646
50	0.0794382	0.5946195	0.0212714	0.6914335	0.6296964	0.6466436	0.5754600	0.6814183	0.5841803	0.6889491
