YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.4991680	0.9320795	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.1271547	0.9969446	0.7718286
0.9830456	0.4660407	0.8426328	0.9999992	0.0109109	0.2567239	1.0000000	0.1271592	0.9969444	0.7718321
0.9802794	0.4462309	0.4213459	0.9999992	0.0109108	0.2567239	1.0000000	0.1091929	0.9978882	0.8641022
0.9567219	0.3483404	0.3787992	0.4999999	0.0109108	0.2567239	1.0000000	0.1080923	0.9979750	0.8753014
0.9982007	0.9320796	0.8426334	0.9999999	0.0054663	0.2567239	1.0000000	0.1271549	0.9969446	0.7718251
0.9982007	0.9320796	0.8426331	0.9999993	0.0104741	0.1283863	1.0000000	0.1271549	0.9969446	0.7718251
0.9981997	0.9319012	0.8420489	0.9985353	0.1034412	0.5596453	0.5000000	0.1271396	0.9969454	0.7719092
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.0724436	0.9959587	0.7092680
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.1271549	0.4985679	0.7718251
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.2685216	0.9747756	0.4025974
