YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1957548	0.7330456	0.0330716	0.8904890	0.1035945	0.2843871	0.9989277	0.7935622	0.8224659	0.2216224
0.1329702	0.3133816	0.0248420	0.8962428	0.0782895	0.3133805	0.9841438	0.9271086	0.9163886	0.1754771
0.3900960	0.6051202	0.0085968	0.9862269	0.0949939	0.2792280	1.0487018	0.7992464	0.8331122	0.2536576
0.4083802	0.6828371	0.0521105	0.4627395	0.1393470	0.3609668	0.9637762	0.9742560	0.8089145	0.2333343
0.4701627	0.7500026	0.0251678	0.9304896	0.0604375	0.2687006	1.0104349	0.7593422	0.7047384	0.3791087
0.3925846	0.6726299	0.0445181	0.9386386	0.0748068	0.1412584	1.0461287	0.8750821	0.8670895	0.2161528
0.3636595	0.6106205	0.1096946	0.6370771	0.4531583	0.6806244	0.5427502	0.8996299	0.8603020	0.2025974
0.3842411	0.6431628	0.0633837	0.9832227	0.0769891	0.3307340	0.9185657	0.4750002	0.7112306	0.2515214
0.5725901	0.9497972	0.0791200	0.7887731	0.1365476	0.4024625	0.7527284	0.0486061	0.2539359	0.9430851
0.4417036	0.6786877	0.0496770	0.9833449	0.1046934	0.3056676	0.9977363	1.0678279	0.9745543	0.0965144
