YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0097101	0.7484895	0.5041541	0.9999199	1.0000000	0.6449981	0.4921710	0.8752165	0.5818916	0.4410306
0.1617667	0.3742460	0.5041541	0.9999199	1.0000000	0.7480648	0.5734529	0.8752164	0.5818915	0.4410307
0.0343012	0.5920995	0.2520771	0.9999199	1.0000000	0.7277421	0.5578988	0.8752164	0.5818915	0.4410307
0.0755041	0.4647063	0.1525903	0.4999599	1.0000000	0.8022876	0.6071382	0.9162008	0.8522272	0.4292309
0.0194329	0.7480705	0.5029927	0.9980506	0.5000010	0.7121166	0.5461009	0.8753239	0.5824054	0.4410025
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.3911110	0.3020005	0.8752164	0.5818915	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.7833070	0.2999633	0.8752164	0.5818916	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4973800	0.8274365	0.4256089	0.4879663	0.6279402
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6222027	0.5250856	0.7502296	0.2791107	0.4810576
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6487436	0.4870277	0.9066090	0.7699326	0.2160058
