YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.7003582	0.4121021	0.8176940	0.5007364	0.0978892	0.0585750	0.1586884	0.6993842	0.6497255
0.7493060	0.0000000	0.4031101	0.7573548	0.3889067	0.0814465	0.1145002	0.1634385	0.8056651	0.6442131
0.4241778	0.7248982	0.0000000	0.5921115	0.2827634	0.4400538	0.0186415	0.0019252	0.7588293	0.7590783
0.5399377	0.3128802	0.6691425	0.0000000	0.1891796	0.5877754	0.2882311	0.1721685	0.7494065	0.6717847
0.4689738	0.6462194	0.4062079	0.8065528	0.0000000	0.6766671	0.1549627	0.0885898	0.7691747	0.6316508
0.4859882	0.6935942	0.3711072	0.7354893	0.2723327	0.0000000	0.1118153	0.1311521	0.6163187	0.8056870
0.4015979	0.6073035	0.4238831	0.7236162	0.4966014	0.7319058	0.0000000	0.1218674	0.6587827	0.5104373
0.4604529	0.7049181	0.4109139	0.6445768	0.4082571	0.4077269	0.0179640	0.0000000	0.7852674	0.7621144
0.4411472	0.6783608	0.3094223	0.6096372	0.3143899	0.2894089	0.6035823	0.5046329	0.0000000	0.7385554
0.4329651	0.6845415	0.3694068	0.7679097	0.2881934	0.2532254	0.1300683	0.0965187	0.6334136	0.0000000
