YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000010	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2352300	0.7980523	0.8805180	0.9990177
0.9999999	0.0000026	0.0900404	0.9853812	0.9463432	1.0000000	0.2352300	0.7980523	0.8805180	0.9990177
0.9929538	0.0387369	0.0000008	0.9853812	0.9463432	1.0000000	0.2657449	0.7838314	0.8805180	0.9990177
0.4032206	0.8936155	0.9999998	0.0000017	0.9463432	1.0000000	0.0197574	0.9265106	0.8805180	0.9990177
0.4031114	0.8936436	0.9999668	0.0302467	0.0000000	1.0000000	0.0309230	0.3989288	0.0964556	0.0371633
0.6536525	0.4877595	0.5091954	0.2404821	0.0271294	0.0000000	0.2959234	0.7067502	0.5525448	0.2547590
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.0000025	0.9406654	0.8805180	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2496065	0.0000029	0.8805180	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2442310	0.2617402	0.0000003	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2442256	0.2622626	0.0084774	0.0000001
