YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.5310477	0.5238656	0.1792287	0.6883221	0.2635877	0.6483530	0.7712460	0.9418388	0.3194728	0.3948030
0.5731728	0.4323313	0.0376914	1.0159515	0.1613444	0.5650183	0.7161821	1.0326048	0.5071705	0.4788922
0.2276285	0.4316253	0.0251001	0.7700619	0.4497448	0.8093147	0.5190997	0.2212457	0.0022225	0.1406979
0.0794258	0.3385742	0.0307336	1.0404370	0.2560130	0.5877650	0.7892137	0.9782072	0.2834060	0.1991292
0.7041872	0.4079184	0.0682285	0.7116757	0.1027328	0.5452030	0.7903712	0.6255892	0.0043757	0.0578232
0.1071634	0.4127682	0.1528811	0.7095380	0.2988450	0.5145741	0.7923780	1.0426602	0.3227605	0.2337123
0.2120383	0.3131521	0.0044979	1.0326528	0.1566480	1.0888117	0.1790739	0.0012541	0.0017991	0.3554498
0.2086502	0.4676761	0.0173156	0.9086482	0.0505995	0.9071075	0.1442131	0.0183582	0.0272461	0.0019821
0.1423611	0.4313834	0.0110890	1.0216067	0.1207443	0.7239114	0.3271620	0.1526075	0.0005449	0.0008060
0.0732598	0.4447063	0.0643576	1.0062682	0.2808023	0.7496897	0.5934712	0.4732827	0.0023579	0.0032633
