YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.5656899	0.2253384	0.4705642	0.7052908	0.5675167	0.9492142	0.2216034	0.8389069	0.9203608	0.8694975
0.4373042	0.2019514	0.3296334	0.8747886	0.7105669	0.9088375	0.3882962	0.7698407	0.9895311	0.9712940
0.5935800	0.2891920	0.5301631	1.0022032	0.5199953	0.9750517	0.0093507	0.7573931	0.9118221	0.6631018
0.4188896	0.5479329	0.7166439	0.5311966	0.6388046	0.8260376	0.0239485	0.9954186	1.0215485	0.9511174
0.5656223	0.4112551	0.4744437	0.7158665	0.5704287	0.7103287	0.0077021	0.7416973	1.0871037	1.0089656
0.4905565	0.1796859	0.3409339	1.0400288	0.4108582	0.7650117	0.6278498	0.8249523	0.9013849	0.6364547
0.5485560	0.3732057	0.5609122	0.5455670	0.4783215	0.6772923	0.1531408	0.8334221	1.0481211	1.1225308
0.5400842	0.3375897	0.5590168	0.7682502	0.7021856	1.1131994	0.0033304	0.7919925	0.9558652	0.8519172
0.4004175	0.0698044	0.3725902	0.9382017	0.3266843	0.8271482	0.0037504	0.7740986	1.0345501	0.6281701
0.4239177	0.6683330	0.8050452	0.4979042	0.5473275	0.8494487	0.1062477	0.7365234	0.9520725	1.0665761
