"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	1.0043956	0.7262650	1.0115597	0.9442231	0.0948449	0.5330963	0.8560947	0.1231105	0.2622567	0.3989480
50	0.1808219	0.6477684	0.9934754	0.5285701	0.1141437	0.4887264	0.8354681	0.1490349	0.4071514	0.4173248
100	0.0555676	0.6373259	0.9940837	0.4058558	0.0807862	0.4941963	0.8121184	0.1841370	0.4068882	0.5159682
150	0.0243413	0.5610854	0.9098993	0.4138362	0.1298470	0.5082865	0.8882499	0.2640135	0.3585437	0.4817286
200	0.0263514	0.5570167	0.9736533	0.3797067	0.1760126	0.5586135	0.7844942	0.2408449	0.3767902	0.4527221
250	0.0219120	0.5375306	0.9550223	0.3397157	0.2022046	0.5527029	0.7745248	0.2806663	0.3585875	0.3924981
300	0.0122357	0.6177964	1.0541075	0.3858419	0.1817612	0.5883737	0.6276110	0.2619524	0.3978727	0.3893370
350	0.0206085	0.6925703	0.9843758	0.3356575	0.1906783	0.5965795	0.6781334	0.2374528	0.4155232	0.3422785
400	0.0278695	0.6764352	1.0371413	0.3125878	0.1722984	0.6042763	0.7201233	0.2788972	0.4759745	0.3455803
450	0.0214746	0.6161543	0.9966111	0.3158281	0.2203667	0.5495558	0.6689740	0.2315478	0.3551762	0.3504572
500	0.0235446	0.7316416	1.0586815	0.3808306	0.1537100	0.6570806	0.7005469	0.1984072	0.3760230	0.3235412
550	0.8617795	0.7472148	1.0230713	0.8063207	0.1334405	0.5938020	0.7696553	0.2181403	0.3299824	0.2686608
600	1.0017364	0.8773851	0.9834475	0.9059134	0.1479275	0.5641919	0.7795090	0.2348701	0.2457946	0.3373354
650	0.9652836	0.7323191	1.0081159	0.8965007	0.1942452	0.5264993	0.7125005	0.1833329	0.2199291	0.3628484
700	0.9868889	0.7426794	0.9829759	1.0076303	0.1717458	0.5545154	0.7951091	0.1478679	0.2626015	0.2769720
750	0.9934285	0.7886214	1.0768929	0.9218945	0.1076505	0.5433872	0.8705331	0.1233222	0.2802933	0.4315885
800	0.9979589	0.6848376	1.0502806	1.0006890	0.0722045	0.5005022	0.8877159	0.1351424	0.2306270	0.4648508
850	0.9786932	0.7108569	1.0968299	0.9696110	0.0526319	0.5686655	0.8782871	0.1533319	0.2849558	0.4965764
900	1.0044047	0.7246667	1.0030702	1.0152482	0.0891103	0.4839974	0.8302296	0.1704482	0.3201261	0.5100387
950	0.9981522	0.6620260	1.0252850	0.9832042	0.1272360	0.4446223	0.8437873	0.1526775	0.2588810	0.4967095
1000	1.0067561	0.7052007	0.9844523	0.9642860	0.1134264	0.4577958	0.7635254	0.1387004	0.2446594	0.4323055

0	1.0043956	0.7262650	1.0115597	0.9442231	0.0948449	0.5330963	0.8560947	0.1231105	0.2622567	0.3989480
50	0.9916019	0.7285278	1.1201045	0.9993429	0.0558366	0.1613640	0.7248304	0.1449508	0.2947618	0.4121150
100	0.9331786	0.7735876	1.0576660	0.9876665	0.0732439	0.0765374	0.7069931	0.1575612	0.3154436	0.4201827
150	0.9976389	0.7404379	1.0257537	0.9868475	0.1125522	0.0585291	0.6846757	0.1800455	0.3003459	0.3664353
200	0.8966989	0.7037025	1.0113487	0.8463117	0.1796225	0.0390908	0.6577440	0.2443580	0.2758769	0.3429744
250	0.9501932	0.7350701	1.0047568	0.8971509	0.1648733	0.0303325	0.6126361	0.2051962	0.2383409	0.2991783
300	1.0470266	0.8133319	0.9626549	0.8747982	0.1721959	0.0309488	0.6542550	0.1883044	0.2118440	0.3112860
350	1.0567845	0.8564105	0.9792529	0.8933706	0.1306469	0.0290651	0.6316572	0.1760302	0.2716079	0.2671958
400	1.0450717	0.8165865	1.0281233	0.9236429	0.0985784	0.0348624	0.6848966	0.1693343	0.2869354	0.2323610
450	1.0071518	0.7758260	0.9477077	0.9348491	0.0904521	0.0270281	0.6324947	0.1335031	0.2139935	0.2231117
500	1.0035094	0.7881274	0.9652977	0.9478674	0.1039661	0.0300496	0.6899356	0.1821588	0.2371860	0.2526674
550	0.9934618	0.8975772	0.9961398	0.9478591	0.1217898	0.3738191	0.8406267	0.1266066	0.2672129	0.3079583
600	0.9784506	0.8104851	1.0200432	0.9382513	0.0890350	0.4557332	0.9250319	0.1396132	0.2888664	0.4182789
650	0.9015919	0.7640809	1.0671295	0.9048205	0.0800968	0.4863012	0.9889877	0.1505881	0.2908616	0.4744686
700	1.0386479	0.7592229	0.9690028	0.9487666	0.0706260	0.4654474	0.9606536	0.1263044	0.2584346	0.5673593
750	0.9874286	0.6481344	1.0008661	1.0613196	0.0603157	0.4766409	0.8854856	0.1241348	0.2344796	0.4862299
800	0.9890235	0.6919819	0.9664687	0.9887073	0.1073082	0.4788033	0.8551818	0.1414929	0.2321868	0.4979200
850	0.9593059	0.5969397	0.9497455	0.9539800	0.1285222	0.4955666	0.8521909	0.1772409	0.2285676	0.4917772
900	0.9429665	0.6518956	1.0512902	0.9316712	0.1550574	0.5344877	0.8166691	0.1771011	0.2238040	0.5281902
950	0.9837677	0.6374417	1.0404670	0.9588651	0.1631179	0.5101783	0.8612000	0.1323007	0.2300949	0.4496424
1000	1.0869433	0.6907526	1.0449915	0.9743898	0.1159618	0.5454735	0.8059575	0.1190532	0.2534257	0.4736060

0	1.0043956	0.7262650	1.0115597	0.9442231	0.0948449	0.5330963	0.8560947	0.1231105	0.2622567	0.3989480
50	0.1801444	0.7169723	0.9843843	0.8245621	0.0972978	0.3133788	0.9002970	0.1489980	0.2042034	0.4711224
