YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0211635	0.3471553	0.2404899	0.8026983	0.7189005	0.5793682	0.3045879	0.6389948	0.5976716	0.7335319
0.9335325	0.0085588	0.3896784	0.6159130	0.4028154	0.5652790	0.1337362	0.9142703	0.3176442	1.0000000
0.0007570	0.7586801	0.3121698	0.8621842	0.7420236	0.8598857	0.2099372	0.8520613	0.1851487	1.0000000
0.7977955	0.0021478	0.3041179	0.7263244	0.5711282	0.7523168	0.1594510	0.5989570	0.4926440	0.8402497
0.4922212	0.0037583	0.3361208	0.6780732	0.4851037	0.2366043	0.1791524	0.7497429	0.3247969	0.8790345
1.0000000	0.0006902	0.2482255	0.8270597	0.7761784	0.2164085	0.2320810	0.7420695	0.3655743	1.0000000
0.8741377	0.0084970	0.3508970	0.5418694	0.4273113	0.9341906	0.1459860	0.9749237	0.2026966	1.0000000
0.0576444	0.2873156	0.2806244	0.9417351	0.8874234	0.1028942	0.8695903	0.1457921	0.3945964	0.9587741
0.6893867	0.0345160	0.3136255	0.7569124	0.6372692	0.4175443	0.3165038	0.5461713	0.4520249	0.8862594
0.2101400	0.2184547	0.3052457	0.8783966	0.7466032	0.5247639	0.1852230	0.9348559	0.2728021	1.0000000
