YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.5894739	0.2184436	0.6784302	0.6496037	0.7458488	0.0397191	0.6928655	0.6650370	0.7115782	0.0517585
0.3186121	0.1420160	0.6222701	0.5768498	0.7541759	0.1175409	0.6029529	0.6922603	0.5349293	0.0479807
0.3718218	0.3870700	0.6893260	0.5727337	0.8362187	0.1345789	0.5515008	0.8293586	0.6482837	0.0770939
0.7052441	0.1176401	0.5841118	0.5167100	0.6584413	0.1071235	0.7305725	0.6923662	0.5951732	0.0671117
0.3636222	0.2652193	0.6008454	0.6716009	0.9419357	0.0988358	0.7478907	0.7172310	0.8996264	0.0803478
0.5026291	0.2477108	0.5606912	0.5401114	0.6776647	0.1241078	0.6257485	0.7631433	0.7912398	0.0579207
0.1374876	0.4351869	0.4905507	0.5128720	0.5370497	0.1445785	0.7263454	0.8321044	0.8242495	0.0495338
0.3212798	0.3197214	0.6769263	0.5264750	0.8021498	0.1291134	0.5956607	0.7879992	0.7179103	0.0606883
0.7766569	0.1993659	0.5968462	0.5817150	0.7106800	0.1103360	0.7897032	0.6779535	0.7508321	0.1180198
0.4559217	0.1273263	0.6754641	0.6176690	0.7008700	0.2386357	0.6269082	0.7943498	0.7828345	0.0226503
