"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	1.0011584	0.0457885	0.0751934	1.0377947	0.8640450	1.0312197	0.2166366	0.7407046	0.7773229	1.0043265
50	0.9115319	0.0337698	0.0893599	0.9888773	0.8610582	0.8943424	0.1855303	0.7982994	0.9010463	0.9748734
100	0.9254238	0.0431818	0.0644702	0.9642066	0.9324467	0.7434610	0.1164370	0.8395588	0.8289389	1.0788114
150	1.0509773	0.0342272	0.0815844	0.9736024	0.9851886	0.6129335	0.1180178	0.8160013	0.9200530	0.9804907
200	0.9350655	0.0761716	0.1399273	0.8564889	0.9027947	0.5780466	0.0827709	0.8208558	0.8619064	0.9882807
250	0.9575395	0.0526653	0.1321326	1.0028800	0.8689461	0.5784853	0.0486665	0.8244718	0.8483785	0.9067358
300	1.0620961	0.0499712	0.0886853	0.8685194	0.8629889	0.5685711	0.0441907	0.8492333	0.8023287	0.9286127
350	0.9484065	0.0480116	0.1092854	0.8451186	0.8748146	0.5451154	0.0724752	0.9490296	0.9235145	0.9293621
400	0.9510380	0.0386904	0.0928846	0.9219446	0.8638515	0.5508489	0.1051032	0.9675801	0.8352126	1.0610874
450	0.9488790	0.0518447	0.1058526	1.0182283	0.8268952	0.4785713	0.0983010	0.9216544	0.9063660	1.0460064
500	0.9982824	0.0650954	0.1031732	1.1203765	0.8608596	0.5545845	0.1209580	0.8975566	0.9562897	1.0407746
550	0.9798099	0.0807051	0.0808832	1.0214959	0.8619297	0.6989778	0.2157065	0.7915377	0.8773903	1.0543482
600	1.0382364	0.0533077	0.0580444	0.9154830	0.8686288	0.8721175	0.3330703	0.7866908	0.8821369	0.9825238
650	1.0711530	0.0408816	0.0812646	0.9558481	0.9409049	0.9890045	0.2337067	0.7363791	0.8504540	0.9949083
700	0.9698840	0.0222564	0.0871433	0.9601963	0.9778820	1.0198886	0.2704211	0.7865234	0.8661958	0.9402796
750	1.0062744	0.0384810	0.0981048	0.8723485	1.0227715	1.0858373	0.2402190	0.8508652	0.8897917	0.9440423
800	0.9300095	0.0564476	0.1293410	0.9358666	0.9331892	0.9993571	0.2344625	0.8058036	0.9367534	0.9781232
850	0.9900937	0.0464148	0.0789158	0.9643363	1.0037434	1.0438092	0.1607649	0.8894485	1.0184009	0.8664959
900	1.1069906	0.0191722	0.1120938	0.9229391	0.9301493	1.0100245	0.2408211	0.8089149	0.9704587	0.9035557
950	1.0475161	0.0204770	0.0929457	1.0137203	0.9633653	1.0716718	0.2568807	0.8648863	0.8537153	0.9988272
1000	1.0090552	0.0573612	0.0717650	1.0765758	0.9551000	1.0081700	0.2375378	0.7055388	0.9065381	0.9518112

0	1.0011584	0.0457885	0.0751934	1.0377947	0.8640450	1.0312197	0.2166366	0.7407046	0.7773229	1.0043265
50	1.0654455	0.0404454	0.0748294	0.9724377	0.9940961	1.0282361	0.2207023	0.8435396	0.9101994	0.9659219
100	1.0650638	0.0381598	0.0806165	0.9047772	0.8517687	0.8078015	0.1275766	0.8099420	0.9973185	0.9632413
150	0.9622109	0.0457749	0.0915654	0.9126827	0.9159150	0.7742734	0.1318686	0.7531794	0.9139243	1.0526835
200	0.9892898	0.0397818	0.1137714	0.9012857	0.8961711	0.7584958	0.1428232	0.8193940	0.8232068	1.0414887
250	1.0309181	0.0149926	0.1039426	0.8608411	0.9086895	0.7967770	0.0923132	0.8793161	0.7935571	0.9346562
300	1.0301449	0.0275821	0.0932175	0.7982834	0.9334893	0.7064546	0.0886683	0.8678452	0.8006174	0.9628929
350	1.0455633	0.0365305	0.1076441	0.9194392	0.9043199	0.7669237	0.0870968	0.9147913	0.9014063	0.9898308
400	1.0281165	0.0447951	0.1303589	0.9600809	0.9443873	0.8029909	0.0993591	0.8812407	0.9981427	1.0645327
450	1.0600821	0.0410286	0.1105744	1.0322688	0.9695736	0.7553850	0.0655088	0.9338293	0.9047567	1.0741916
500	1.0600534	0.0477434	0.1098981	0.9503538	1.0186868	0.7672160	0.0755120	0.9438576	0.8869763	1.0680109
550	0.9468164	0.0343126	0.1045575	0.9439449	0.9448623	0.8500972	0.1497255	0.8784995	0.9941961	1.0606945
600	0.9624789	0.0302748	0.0639470	1.0582496	0.9050369	0.8583521	0.2214964	0.8722977	0.9445744	1.0010832
650	0.9956610	0.0483881	0.1126501	0.9885016	0.8944814	0.8477833	0.2369988	0.8531021	0.8895870	0.9710545
700	1.0211056	0.0312907	0.0766105	0.9454161	0.9207718	0.9149782	0.2139696	0.8856461	0.7477567	0.9886525
750	1.0168721	0.0247740	0.0880252	0.9369481	1.0046710	0.8927612	0.2799939	0.7888966	0.8402727	0.9882177
800	0.8409222	0.0239374	0.0955574	0.9088713	0.9443921	0.9526100	0.2982027	0.8036644	0.9559644	1.0420487
850	0.9235519	0.0444421	0.0759586	0.8635801	0.9743033	0.9597584	0.2772412	0.8120347	1.0503104	1.0109808
900	0.9519857	0.0521699	0.0665100	0.8528379	1.0214807	1.0400853	0.2052398	0.7605653	0.9368441	1.0624207
950	0.9765638	0.0399347	0.0866488	0.8112520	0.9438998	1.0209410	0.2116069	0.8874264	0.9342752	1.0244644
1000	1.0876117	0.0495222	0.0729235	0.9636023	0.9286487	0.9928978	0.2340016	0.8079944	0.8684600	0.9703580

0	1.0011584	0.0457885	0.0751934	1.0377947	0.8640450	1.0312197	0.2166366	0.7407046	0.7773229	1.0043265
50	0.8575457	0.0325909	0.0922854	0.9396849	1.0192362	1.0243851	0.2018196	0.8928699	0.8684761	1.0816258
100	0.8366578	0.0523645	0.1122183	0.9425245	1.0103878	1.0706438	0.2296333	0.9379299	0.9611958	1.0224498
