YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.7188467	0.3700772	0.3627556	0.4908985	0.4095206	0.0564552	0.9714398	0.5767003	0.1382214	0.9531759
0.8728239	0.8559212	0.1098784	0.5059401	0.1409793	0.2185365	0.9806491	0.9994181	0.0087185	0.9992485
0.7699351	0.4155897	0.3091776	0.2846069	0.3382525	0.2487601	0.9789460	0.7836059	0.2336182	0.9726346
0.8067725	0.5653248	0.2664945	0.1621493	0.2765024	0.1041318	0.9877524	0.4886842	0.2344010	0.9570689
0.9918583	0.8713360	0.1018897	0.4042040	0.0129170	0.1421774	0.9988410	0.9108255	0.2323762	0.9994188
0.8574384	0.7244805	0.1756356	0.2213112	0.0349938	0.2248508	0.9789681	0.7934230	0.0261840	0.7999310
0.9683538	0.6540073	0.1676966	0.0461207	0.1938826	0.0555721	0.9959776	0.6947616	0.2324943	0.9967162
0.5860201	0.1709004	0.5026871	0.3727609	0.2105423	0.2606913	0.9750114	0.6394573	0.0236680	0.8669375
0.8770054	0.5796360	0.1872221	0.3428234	0.1216465	0.2589293	0.9805976	0.9878902	0.0187898	0.9951691
0.9105178	0.5051711	0.3088565	0.1246120	0.3378675	0.2598299	0.9777196	0.7246304	0.2336196	0.9727495
