"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.8574208	0.1658163	0.5997038	0.2870307	1.0596634	0.8348534	0.3043166	0.5433217	0.0577867	0.6658249
100	0.6639625	0.1254923	0.7187746	0.2485204	1.0621812	0.9574300	0.5414185	0.4859465	0.0663174	0.4833563
150	0.5449687	0.1298111	0.7658495	0.1876134	1.0765642	0.9869021	0.6215372	0.5341952	0.1511554	0.3593522
200	0.5604616	0.1117866	0.8511212	0.2035371	0.9256365	0.9850302	0.6202969	0.4852494	0.2271179	0.3629337
250	0.5161505	0.1155501	0.9342658	0.2260689	1.0406284	0.9090432	0.6373595	0.3552257	0.3277037	0.2592591
300	0.5187814	0.1313069	0.8706452	0.2083031	1.0257769	0.9045000	0.6350281	0.2181871	0.3061588	0.2904444
350	0.3993809	0.1702887	0.8356448	0.2485102	0.9696711	1.0285874	0.6253550	0.1934407	0.3074469	0.3479736
400	0.4559992	0.1132897	0.9740131	0.2263765	1.0095083	1.0887463	0.6144582	0.1694539	0.2664632	0.3199005
450	0.4606930	0.1025192	0.9164485	0.1676522	1.0576871	1.0510269	0.6137445	0.2228501	0.2463174	0.3602216
500	0.4889506	0.1163229	0.8706254	0.1340903	1.1604955	0.9986455	0.6248207	0.2115618	0.2730787	0.3130393
550	0.5779495	0.1124989	0.8394018	0.1991150	1.2309053	0.9827570	0.4121967	0.3150388	0.4671315	0.5101512
600	0.7995576	0.1447360	0.7083295	0.1841614	1.1315744	0.9416869	0.2942290	0.1906496	0.3699931	0.8343515
650	0.8700218	0.1299675	0.6179383	0.1751985	0.9983742	0.9654196	0.3298109	0.1697877	0.1617459	0.8605501
700	0.8299085	0.1411900	0.6162427	0.2112697	1.0972902	0.9509996	0.4336711	0.2441527	0.1464543	0.9977289
750	0.8173396	0.1378210	0.5717041	0.2150347	0.9664025	0.9040897	0.3973727	0.3354982	0.0885693	1.0282746
800	0.8100156	0.0964676	0.5832153	0.2296748	0.9837264	0.8976325	0.3745364	0.5171497	0.0837040	1.0621940
850	0.8350955	0.1165528	0.5795210	0.2427756	0.9876000	1.0252966	0.2778539	0.5634062	0.0760301	1.0080073
900	0.8549209	0.1139125	0.5820975	0.2280883	1.0286937	1.0299077	0.2676669	0.5213229	0.1006737	0.9796489
950	0.8570709	0.1190330	0.6528938	0.2746527	1.0624106	0.9117655	0.1821927	0.5564617	0.0868424	1.0480370
1000	0.8613104	0.1056384	0.6374838	0.2623417	0.9287080	0.8520529	0.1324856	0.6138549	0.0847466	1.0095743

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.9799326	0.1512679	0.5475122	0.2589753	0.9229736	0.8786859	0.1709640	0.5374353	0.0547016	0.8777375
100	0.9791877	0.1024092	0.6184823	0.1992409	0.9642514	0.8166849	0.2250110	0.5452835	0.0621730	0.7177844
