YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.9793080	0.9185927	0.4173290	0.0770526	0.9221843	0.3992686	0.7822218	0.5351595	0.6077143	0.0755193
0.9143892	1.0286318	0.5119454	0.0703816	0.9892129	0.7115859	0.0535957	0.3761709	0.6127417	0.0690872
0.9328721	1.0195721	0.2371255	0.0567636	0.9769877	0.7222862	0.6495687	0.8007166	0.5650853	0.0727462
0.9238954	0.9776573	0.4815318	0.0728516	0.8241689	0.3812464	0.8037570	0.6969815	0.5280464	0.0921001
1.0242293	0.9665898	0.3948081	0.0782864	0.8578108	0.2754278	0.8080936	0.8064366	0.2995417	0.0137968
0.9722036	1.0056404	0.2758173	0.0487331	0.8623287	0.3915255	0.8389642	0.4703238	0.8345162	0.0051083
0.8630072	0.9678609	0.3494684	0.0738315	1.0892606	0.9682023	0.3409294	0.3802517	0.5960051	0.0005943
0.8821161	0.9888640	0.3721133	0.0652816	0.7984261	0.3201223	0.6925839	0.6890972	0.6490690	0.0047282
0.9112971	0.9534953	0.4542636	0.0659505	1.0179594	0.7112253	0.6336517	0.5414836	0.5895036	0.0072808
0.8753863	0.9454094	0.5007865	0.0594817	1.0156153	0.8752021	0.3951114	0.6063335	0.5901524	0.0967377
