YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1143977	0.4566716	0.6591005	1.0311566	0.6611841	1.0573726	0.0653911	0.1535349	0.0535992	1.0124007
0.6064313	0.2336804	0.7303524	1.0569779	0.5748331	0.9584105	0.0577560	0.1768157	0.1303380	0.9504411
0.0896916	0.9217284	0.3115080	0.9630218	0.6362706	0.9875949	0.0587271	0.1124654	0.0411000	0.9576912
0.0763221	0.9440885	0.2935539	0.4846408	0.7460941	1.0374678	0.0500576	0.0990556	0.0209163	0.9849066
0.2293317	0.4674883	0.7244275	0.9941110	0.3228293	0.9025245	0.0673573	0.0707610	0.0391100	1.0363746
0.2673658	0.4721952	0.7087844	1.0656857	0.3274485	0.5102418	0.0541196	0.0873246	0.0329695	1.0606071
0.1582296	0.5529671	0.7682526	1.0183004	0.6062236	1.0443779	0.0253024	0.1299850	0.0381429	0.9871278
0.1699371	0.5029074	0.8113808	0.9792669	0.6525259	0.9331716	0.0134753	0.0360675	0.0541080	1.0372194
0.1671529	0.4919714	0.7014773	0.9688378	0.7655019	1.0716038	0.0276087	0.0928159	0.0337364	1.0028101
0.2041721	0.4857021	0.7155333	0.9902713	0.4667737	0.6442365	0.2264785	0.2910242	0.1669750	0.4758583
