YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000006	0.1683867	1.0000000	0.0967359	0.4632167	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
1.0000000	0.0000000	1.0000000	0.4551217	0.5784742	0.9130530	0.4991253	0.7130794	0.2557775	0.1199517
0.2137329	1.0000000	0.0000000	0.0459747	0.4580661	0.9999999	0.0170321	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.0000072	0.4566948	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2411126	0.0000019	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2413138	0.0696660	0.0000000	0.0183262	0.1410918	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190173	0.5276596	1.0000000	0.0000022	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190204	0.5276624	0.9999999	0.0169910	0.0000019	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190173	0.5276596	0.9999995	0.0240425	0.6377534	0.0000029	0.0495538
0.6840931	0.1683867	1.0000000	0.3190204	0.5276624	0.9999995	0.0240758	0.6413913	0.0586443	0.0000056
