YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0310819	0.6105718	0.0108387	0.0382290	0.1728296	0.8088714	0.0562736	0.0317555	0.6723428	0.7685364
0.1333988	0.3501902	0.0049686	0.1173681	0.2724410	0.8979061	0.0282508	0.0455952	0.7156931	0.8682500
0.1663730	0.7640314	0.0048348	0.1510599	0.1716970	0.8362108	0.0450653	0.0270247	0.6614427	0.6598605
0.0424714	0.6121242	0.0219024	0.0242442	0.2034219	0.7096682	0.0381146	0.0552938	0.7004351	0.6824601
0.0403756	0.8416612	0.0207396	0.0347084	0.0860550	0.6443181	0.0341199	0.0524497	0.7165336	0.7001764
0.5855508	0.4854150	0.1580067	0.4650448	0.4244766	0.3857527	0.1496511	0.1426315	0.6564729	0.7392682
0.0497462	0.7692589	0.0240309	0.1129074	0.2146706	0.6807959	0.0340709	0.0432470	0.6921861	0.6647373
0.0709348	0.6691028	0.0067497	0.0790607	0.1844579	0.7833148	0.0367916	0.0311453	0.7336653	0.7255959
0.0341541	0.8416156	0.0046387	0.1253321	0.1681172	0.7954365	0.0366769	0.0316470	0.3831218	0.8212376
0.0796729	0.7720837	0.0134435	0.1096247	0.2644504	0.6563234	0.0412835	0.0496261	0.5002347	0.4170644
