YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.4422888	0.7818860	0.9999063	0.0517251	0.2063141	0.9250306	0.4463798	0.2168029	1.0000000
1.0000000	0.0000000	0.6935895	0.9997178	0.0606170	0.2250862	0.9999944	0.0319004	0.2400318	1.0000000
0.2411200	0.9999974	0.0000015	0.9998401	0.0849556	0.2702488	0.9702691	0.3424181	0.2916747	1.0000000
0.2464890	0.9411873	0.0695110	0.0000000	0.0850081	0.2702367	0.9712243	0.3381186	0.2919077	1.0000000
0.3812642	0.4764696	0.6967614	1.0000000	0.0000006	0.2246408	0.9936858	0.2214510	0.0388550	1.0000000
0.3812645	0.4764695	0.6967615	0.9999999	0.0066909	0.0000002	0.9936858	0.2214506	0.0581987	1.0000000
0.3812647	0.4764694	0.6967613	0.8450603	0.5490699	0.9058770	0.0000004	0.2214501	0.4814299	1.0000000
0.3803170	0.4778356	0.6935893	0.9998536	0.0606171	0.2250860	1.0000000	0.0000064	0.2400332	1.0000000
0.3812638	0.4764698	0.6967613	0.9998550	0.0603973	0.2246409	0.9936859	0.2214514	0.0000014	1.0000000
0.4377482	0.4083206	0.8796261	0.9999496	0.0422142	0.1843815	0.8295866	0.5782487	0.6957180	0.0000000
