"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.3954814	0.3256625	0.1529927	0.4502794	0.9837959	0.0619774	0.0494192	0.6079170	1.0000000	0.9298623
50	0.4180956	0.4520071	0.4739842	0.4502576	0.9835945	0.0768635	0.0489841	0.8651002	1.0000000	0.3473783
100	0.4271918	0.6602698	0.5990489	0.4506985	0.9796944	0.1398773	0.0484059	0.9022183	1.0000000	0.1210597
150	0.4312325	0.7800471	0.6478910	0.4544420	0.9652388	0.2150525	0.0481438	0.9075754	1.0000000	0.0416787
200	0.4350017	0.8339847	0.6675687	0.4666405	0.9398729	0.2686190	0.0480460	0.9083486	1.0000000	0.0143740
250	0.4425067	0.8570983	0.6771005	0.4899170	0.9111631	0.2991352	0.0480106	0.9084602	1.0000000	0.0050014
300	0.4562307	0.8672601	0.6843537	0.5212356	0.8862710	0.3152758	0.0479979	0.9084763	1.0000000	0.0017822
350	0.4757000	0.8723034	0.6922035	0.5542777	0.8678846	0.3244416	0.0479933	0.9084786	1.0000000	0.0006732
400	0.4979725	0.8755193	0.7009822	0.5836127	0.8554079	0.3309297	0.0479916	0.9084789	1.0000000	0.0002881
450	0.5196115	0.8781658	0.7098867	0.6067539	0.8470739	0.3366486	0.0479910	0.9084790	1.0000000	0.0001514
500	0.5382695	0.8805885	0.7179786	0.6237717	0.8412212	0.3420978	0.0479908	0.9084790	1.0000000	0.0001002
550	0.5355992	0.8660705	0.4537894	0.6359602	0.8374851	0.3179980	0.0481906	0.6512958	1.0000000	0.1369092
600	0.5400289	0.8162698	0.3577654	0.6433846	0.8433597	0.2437527	0.0486729	0.6141776	1.0000000	0.1919106
650	0.5449332	0.7498123	0.3243612	0.6411030	0.8643353	0.1792313	0.0490623	0.6088205	1.0000000	0.2321952
700	0.5461494	0.6927085	0.3103546	0.6243617	0.8925493	0.1419214	0.0492708	0.6080474	1.0000000	0.2722383
750	0.5405608	0.6533234	0.2971679	0.5959354	0.9181275	0.1229623	0.0493619	0.6079358	1.0000000	0.3083891
800	0.5273925	0.6244596	0.2787890	0.5638518	0.9369528	0.1120580	0.0493978	0.6079197	1.0000000	0.3413131
850	0.5086403	0.5964307	0.2564069	0.5350767	0.9495499	0.1034088	0.0494113	0.6079174	1.0000000	0.3795605
