"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1579835	0.4252244	0.0435914	0.9999903	0.0633692	0.8589617	0.4420279	0.1596332	0.0221351	0.0377056
50	0.4157896	0.4179367	0.0208308	0.9999903	0.0636300	0.8565446	0.4965339	0.3849424	0.0220873	0.0377056
100	0.5024003	0.4094582	0.0124488	0.9999901	0.0658671	0.8334317	0.5894170	0.4165814	0.0220174	0.0377054
150	0.5296510	0.4066296	0.0093619	0.9999896	0.0699595	0.7901093	0.6442817	0.4204834	0.0219882	0.0377051
200	0.5378080	0.4058807	0.0082251	0.9999884	0.0749075	0.7472272	0.6691239	0.4207133	0.0219793	0.0377049
250	0.5401818	0.4056676	0.0078065	0.9999869	0.0796573	0.7164142	0.6791893	0.4206187	0.0219768	0.0377048
300	0.5408577	0.4055986	0.0076524	0.9999852	0.0833646	0.6980021	0.6830213	0.4205622	0.0219761	0.0377047
350	0.5410444	0.4055745	0.0075956	0.9999837	0.0858005	0.6882164	0.6844225	0.4205406	0.0219759	0.0377047
400	0.5410932	0.4055659	0.0075748	0.9999826	0.0872017	0.6834179	0.6849207	0.4205334	0.0219759	0.0377047
450	0.5411047	0.4055629	0.0075671	0.9999818	0.0879313	0.6811993	0.6850944	0.4205311	0.0219759	0.0377047
500	0.5411068	0.4055619	0.0075643	0.9999814	0.0882843	0.6802184	0.6851541	0.4205304	0.0219758	0.0377047
550	0.2758944	0.4069427	0.0303239	0.9999811	0.0884021	0.6810248	0.6582832	0.1943267	0.0219783	0.0377047
600	0.1853835	0.4126515	0.0387056	0.9999810	0.0876182	0.6955887	0.5831747	0.1620923	0.0220017	0.0377047
650	0.1577771	0.4186937	0.0417924	0.9999813	0.0844240	0.7309388	0.5140170	0.1579037	0.0220468	0.0377048
700	0.1523262	0.4223342	0.0429291	0.9999824	0.0789905	0.7738726	0.4726272	0.1579667	0.0220875	0.0377050
750	0.1532863	0.4240470	0.0433477	0.9999842	0.0733135	0.8096853	0.4530884	0.1585820	0.0221126	0.0377052
800	0.1551479	0.4247654	0.0435018	0.9999861	0.0689477	0.8334175	0.4452759	0.1590739	0.0221254	0.0377054
850	0.1565016	0.4250499	0.0435585	0.9999877	0.0661949	0.8469196	0.4426176	0.1593655	0.0221311	0.0377055
900	0.1572718	0.4251591	0.0435794	0.9999889	0.0646778	0.8537860	0.4419061	0.1595141	0.0221335	0.0377056
950	0.1576601	0.4252003	0.0435870	0.9999895	0.0639209	0.8569665	0.4418155	0.1595829	0.0221345	0.0377056
1000	0.1578419	0.4252156	0.0435898	0.9999899	0.0635736	0.8583150	0.4418720	0.1596127	0.0221349	0.0377056

0	0.1579835	0.4252244	0.0435914	0.9999903	0.0633692	0.8589617	0.4420279	0.1596332	0.0221351	0.0377056
50	0.1620829	0.4666341	0.0486504	0.5202661	0.4674221	0.8590129	0.4420238	0.1596378	0.0221394	0.0377056
100	0.2073702	0.5670735	0.0920595	0.4065753	0.5231459	0.8590338	0.4420517	0.1599728	0.0222724	0.0377057
150	0.3239749	0.6943902	0.2199217	0.3796315	0.5308326	0.8590047	0.4428689	0.1665263	0.0242244	0.0377072
200	0.5012190	0.8490117	0.3857004	0.3732461	0.5319352	0.8582665	0.4542269	0.2250011	0.0298360	0.0377204
250	0.6702336	0.9343043	0.5136679	0.3717328	0.5324476	0.8516529	0.5066892	0.3561964	0.0329299	0.0377535
300	0.7739577	0.9637178	0.5900654	0.3713741	0.5336435	0.8279739	0.5897127	0.4631500	0.0339360	0.0377883
350	0.8251678	0.9740705	0.6301918	0.3712888	0.5356462	0.7858080	0.6590758	0.5157647	0.0342435	0.0378111
400	0.8482620	0.9782082	0.6498045	0.3712684	0.5382121	0.7384468	0.7016837	0.5366024	0.0343444	0.0378227
450	0.8582949	0.9800061	0.6589661	0.3712633	0.5409613	0.6988009	0.7241990	0.5441970	0.0343818	0.0378279
500	0.8626010	0.9808148	0.6631151	0.3712619	0.5434330	0.6712888	0.7351358	0.5469465	0.0343975	0.0378300
550	0.8643954	0.9788653	0.4964453	0.8508998	0.1529708	0.6544145	0.7401738	0.5479745	0.0343989	0.0378309
600	0.8633615	0.9534822	0.2451128	0.9646093	0.1011310	0.6449136	0.7424001	0.5477907	0.0342956	0.0378311
650	0.8504241	0.8523590	0.1250837	0.9915866	0.0951576	0.6399044	0.7431011	0.5415139	0.0334347	0.0378291
700	0.7907345	0.6585257	0.0758981	0.9979873	0.0949607	0.6375872	0.7410697	0.4997437	0.0298143	0.0378161
750	0.6301759	0.5131637	0.0563328	0.9995057	0.0951661	0.6379915	0.7281264	0.3845809	0.0254258	0.0377826
800	0.4293201	0.4553690	0.0486114	0.9998658	0.0948527	0.6446926	0.6909872	0.2659115	0.0232721	0.0377472
850	0.2901008	0.4360596	0.0455700	0.9999515	0.0932469	0.6638085	0.6299162	0.2012023	0.0225105	0.0377249
900	0.2172820	0.4293292	0.0443719	0.9999724	0.0896214	0.6975016	0.5634859	0.1746651	0.0222611	0.0377138
950	0.1835127	0.4268245	0.0438997	0.9999786	0.0841667	0.7395879	0.5104935	0.1649159	0.0221790	0.0377089
1000	0.1687218	0.4258563	0.0437134	0.9999817	0.0781211	0.7797932	0.4767228	0.1614813	0.0221510	0.0377069

0	0.1579835	0.4252244	0.0435914	0.9999903	0.0633692	0.8589617	0.4420279	0.1596332	0.0221351	0.0377056
50	0.1579827	0.4252244	0.0435914	0.9999898	0.0799780	0.4073739	0.5182961	0.7817926	0.1767848	0.0393800
100	0.1579824	0.4252248	0.0435914	0.9999802	0.1373416	0.2684444	0.6946982	0.9685123	0.2130273	0.0531905
150	0.1579829	0.4252287	0.0435917	0.9999180	0.2067025	0.2103420	0.7882705	0.9954239	0.2215561	0.0716367
200	0.1579877	0.4252482	0.0435936	0.9997092	0.2634979	0.1793074	0.8266256	0.9992926	0.2236128	0.0835470
250	0.1580078	0.4253023	0.0435995	0.9993362	0.3040627	0.1624167	0.8412191	0.9998504	0.2241496	0.0891693
