YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1627035	0.2281792	0.0464452	0.6847813	0.0179456	0.2037921	0.9803479	0.7100818	0.5330597	0.1895248
0.1831506	0.3694310	0.0418541	0.4903112	0.0104196	0.2608159	0.7549753	0.5617051	0.8249496	0.0322619
0.3699799	0.6572960	0.0094879	0.6703244	0.0500085	0.1869191	0.7727407	0.1602134	0.2498178	0.4544528
0.5009679	0.9225342	0.0047818	0.6254399	0.0624444	0.2337011	0.6844311	0.1878804	0.0667584	0.9354584
0.4226613	0.4557131	0.0288535	0.6725070	0.0066166	0.1456783	0.8135204	0.6915371	0.6064382	0.1254412
0.3661498	0.1692549	0.0016139	0.6323315	0.0047542	0.1971703	0.7193415	0.6353346	0.6328106	0.0564268
0.3161121	0.6165923	0.0027132	0.7426460	0.0307175	0.3537252	0.7309684	0.1924996	0.2782931	0.4725527
0.4062456	0.4329630	0.0769920	0.5578978	0.0812125	0.2846003	0.7621529	0.2808813	0.3321361	0.4762395
0.2803074	0.4455649	0.0191498	0.6238982	0.0187581	0.2208729	0.8235159	0.6399943	0.5557113	0.2112445
0.3539218	0.5844634	0.0321988	0.7469728	0.0834071	0.3272676	0.7380582	0.7620351	0.7727722	0.1644301
