YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0340978	0.3064827	0.9612670	0.2910199	0.5115199	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0360232	0.1532508	0.9612669	0.2910196	0.5115202	0.6456322	0.9995315	0.0187040	0.1792770	0.5505733
0.0681702	0.3064827	0.4807449	0.2910198	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681706	0.3064837	0.9941216	0.1455736	0.5115199	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681692	0.3064795	0.7786128	0.5964329	0.2557606	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681705	0.3064834	0.9856875	0.2015004	0.6978429	0.3228178	0.9995325	0.0186927	0.1791183	0.5505735
0.0848391	0.3523003	0.9890207	0.1836287	0.7572768	0.2481088	0.4998406	0.0167458	0.1328734	0.3747841
0.0681639	0.3064582	0.9612524	0.2910790	0.5114122	0.6459014	0.9999544	0.0093534	0.1791712	0.5506809
0.0677182	0.3050493	0.9612659	0.2910305	0.5114917	0.6457254	0.9996966	0.0163028	0.0895681	0.5506084
0.0947218	0.3757682	0.9612587	0.2910465	0.5114773	0.6457325	0.9996865	0.0166473	0.1276739	0.2753090
