"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.5713540	0.8270103	0.4545772	0.9492497	0.3172070	0.5294440	0.9652873	0.7534052	0.5595023	1.0000000
50	0.5429818	0.5132932	0.4603740	0.8053102	0.3171704	0.5292958	0.9622142	0.5867025	0.6922832	0.8855719
100	0.4034005	0.2791730	0.4979955	0.6402020	0.3172122	0.5267284	0.9401015	0.4248035	0.8234033	0.7674153
150	0.2511945	0.1921570	0.5629840	0.5459865	0.3170323	0.5173578	0.9156396	0.3494353	0.8854743	0.7075587
200	0.1553773	0.1582914	0.6288573	0.5015108	0.3154215	0.5074894	0.9243315	0.3201947	0.9091177	0.6824854
250	0.1067938	0.1402336	0.6793408	0.4824963	0.3125090	0.5078664	0.9507769	0.3094070	0.9170516	0.6728861
300	0.0841323	0.1285456	0.7119587	0.4750205	0.3106691	0.5171229	0.9726499	0.3053191	0.9194476	0.6693993
350	0.0737419	0.1209938	0.7307254	0.4722782	0.3113042	0.5280590	0.9853856	0.3036389	0.9200893	0.6681755
400	0.0688948	0.1164360	0.7406583	0.4711846	0.3137320	0.5364631	0.9917211	0.3028759	0.9202306	0.6677563
450	0.0665662	0.1138748	0.7456438	0.4705134	0.3166121	0.5416845	0.9946399	0.3025016	0.9202481	0.6676153
500	0.0654177	0.1125142	0.7481279	0.4699083	0.3190568	0.5445438	0.9959400	0.3023104	0.9202426	0.6675685
550	0.0713439	0.3244961	0.7411651	0.6130764	0.3207845	0.5459985	0.9967560	0.4852233	0.7522640	0.7819812
600	0.1244743	0.4920394	0.6931524	0.7773832	0.3218678	0.5468196	0.9975946	0.6534012	0.6059161	0.9001329
650	0.2137467	0.5829246	0.6212705	0.8709408	0.3225146	0.5472976	0.9969259	0.7164077	0.5553799	0.9599879
700	0.3016004	0.6545693	0.5571585	0.9149874	0.3229023	0.5470609	0.9934900	0.7318980	0.5474213	0.9850607
750	0.3770455	0.7151141	0.5125321	0.9339064	0.3230627	0.5456360	0.9877285	0.7362307	0.5506650	0.9946597
800	0.4386575	0.7600641	0.4856059	0.9416118	0.3229161	0.5430548	0.9813464	0.7399893	0.5545934	0.9981466
850	0.4856359	0.7892679	0.4707986	0.9446941	0.3224071	0.5398868	0.9758262	0.7439793	0.5571103	0.9993703
900	0.5186501	0.8064216	0.4631586	0.9460106	0.3215962	0.5368175	0.9717709	0.7473657	0.5584257	0.9997894
950	0.5401375	0.8157930	0.4593744	0.9467186	0.3206384	0.5342941	0.9690999	0.7497675	0.5590435	0.9999305
1000	0.5532385	0.8206607	0.4575229	0.9472397	0.3197017	0.5324520	0.9674618	0.7512749	0.5593149	0.9999773

0	0.5713540	0.8270103	0.4545772	0.9492497	0.3172070	0.5294440	0.9652873	0.7534052	0.5595023	1.0000000
50	0.5710239	0.8266334	0.4547749	0.9492195	0.3171669	0.5293660	0.9644981	0.7044741	0.5595035	1.0000000
100	0.5707174	0.8264124	0.4548739	0.9492179	0.3171509	0.5287611	0.9597893	0.6538599	0.5595039	1.0000000
150	0.5704910	0.8262928	0.4549192	0.9492245	0.3170846	0.5266698	0.9523456	0.6276881	0.5595040	1.0000000
200	0.5703435	0.8262330	0.4549369	0.9492526	0.3167435	0.5232481	0.9454566	0.6162806	0.5595041	1.0000000
250	0.5702558	0.8262067	0.4549357	0.9493546	0.3159982	0.5195662	0.9406604	0.6116536	0.5595041	1.0000000
300	0.5702082	0.8262026	0.4549081	0.9495793	0.3149611	0.5165199	0.9378543	0.6098443	0.5595041	1.0000000
350	0.5701874	0.8262225	0.4548403	0.9499256	0.3138722	0.5144124	0.9363907	0.6091533	0.5595041	1.0000000
400	0.5701885	0.8262741	0.4547255	0.9503412	0.3129315	0.5131299	0.9356859	0.6088977	0.5595041	1.0000000
450	0.5702120	0.8263621	0.4545717	0.9507563	0.3122275	0.5124208	0.9353659	0.6088123	0.5595041	1.0000000
500	0.5702597	0.8264820	0.4543982	0.9511168	0.3117554	0.5120565	0.9352272	0.6087946	0.5595041	1.0000000
550	0.5703304	0.8266205	0.4542274	0.9513970	0.3114620	0.5119326	0.9366338	0.6576795	0.5595041	1.0000000
600	0.5704181	0.8267614	0.4540766	0.9515981	0.3112648	0.5128700	0.9436153	0.7082710	0.5595041	1.0000000
650	0.5705139	0.8268901	0.4539544	0.9517338	0.3112645	0.5158257	0.9520014	0.7344374	0.5595041	1.0000000
700	0.5706080	0.8269982	0.4538633	0.9517845	0.3117384	0.5198320	0.9581800	0.7458496	0.5595041	1.0000000
750	0.5706927	0.8270808	0.4538095	0.9516926	0.3126964	0.5234556	0.9618084	0.7504851	0.5595041	1.0000000
800	0.5707625	0.8271319	0.4538071	0.9514308	0.3138609	0.5260458	0.9636840	0.7523029	0.5595041	1.0000000
850	0.5708122	0.8271416	0.4538679	0.9510409	0.3149365	0.5276361	0.9645778	0.7530002	0.5595041	1.0000000
900	0.5708358	0.8271017	0.4539890	0.9506062	0.3157671	0.5285148	0.9649801	0.7532591	0.5595041	1.0000000
950	0.5708278	0.8270136	0.4541507	0.9502040	0.3163319	0.5289641	0.9651537	0.7533454	0.5595041	1.0000000
1000	0.5707870	0.8268900	0.4543256	0.9498788	0.3166811	0.5291807	0.9652259	0.7533628	0.5595041	1.0000000

0	0.5713540	0.8270103	0.4545772	0.9492497	0.3172070	0.5294440	0.9652873	0.7534052	0.5595023	1.0000000
50	0.6170789	0.8300040	0.4278783	0.9492196	0.3171660	0.5293835	0.9650463	0.7553952	0.5535232	0.8365416
100	0.6660023	0.8464656	0.3958377	0.9492185	0.3171384	0.5292209	0.9642388	0.7704668	0.5181543	0.6677571
150	0.6954246	0.8669464	0.3766696	0.9492270	0.3171002	0.5289383	0.9642949	0.7999823	0.4648129	0.5822530
200	0.7132833	0.8822242	0.3671642	0.9492421	0.3170252	0.5289622	0.9659610	0.8315213	0.4177061	0.5464363
250	0.7245850	0.8911837	0.3628491	0.9492658	0.3169720	0.5296088	0.9684521	0.8552166	0.3862549	0.5327240
300	0.7316009	0.8957820	0.3609858	0.9492858	0.3170408	0.5307278	0.9707768	0.8695823	0.3685291	0.5277430
350	0.7357298	0.8979568	0.3602062	0.9492767	0.3172679	0.5319466	0.9724796	0.8771672	0.3595944	0.5259950
400	0.7380202	0.8989311	0.3598911	0.9492188	0.3176036	0.5329810	0.9735512	0.8808087	0.3554288	0.5253962
