YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000002	1.0000000	0.5546364	0.6026426	0.5473338	0.9454813	0.5061888	0.3110611	0.6700738	1.0000000
1.0000000	0.0000000	0.5779734	0.9118269	0.2263837	0.4204528	0.6475674	0.3385411	0.5846186	1.0000000
0.4878955	1.0000000	0.0000036	0.7382524	0.2828916	0.5006973	0.6153633	0.3323609	0.6024136	1.0000000
0.4878955	1.0000000	0.6396275	0.0000075	0.2828802	0.5006882	0.6153741	0.3323626	0.6024102	1.0000000
0.4878955	1.0000000	0.2752290	0.9999575	0.0000011	0.3806686	0.8249744	0.3418469	0.5750053	1.0000000
0.4878955	1.0000000	0.2752322	0.9999559	0.0191750	0.0000034	0.7665270	0.3974550	0.4465620	1.0000000
0.4878955	1.0000000	0.5051184	0.6789485	0.3436282	0.5890949	0.0000042	0.3266274	0.6195997	1.0000000
0.4878955	1.0000000	0.3148817	0.9318245	0.2089069	0.3956100	0.8014512	0.0000000	0.5786237	1.0000000
0.4878955	1.0000000	0.5019864	0.6822964	0.3404282	0.5845688	0.2814318	0.9999930	0.0000008	1.0000000
0.4878955	1.0000000	0.4862398	0.7030699	0.3242432	0.5605594	0.4503334	0.5697004	0.2192518	0.0000014
