YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.3061823	0.4104540	0.7895503	0.6493499	0.0703986	0.3055218	0.5894735	0.0985051	0.1535457	0.3867983
0.6707159	0.2534453	0.6803489	0.5775159	0.0610195	0.3854132	0.7340644	0.1030109	0.1645836	0.3783196
0.7309914	0.4056375	0.3166896	0.6677045	0.0373846	0.2835946	0.6112054	0.0293089	0.0955829	0.3787293
0.7343414	0.4472260	0.7695912	0.4202938	0.0482748	0.3057661	0.5142912	0.1067291	0.2074424	0.3199383
0.6430313	0.5630565	0.7123328	0.6700218	0.0555863	0.3383172	0.6247502	0.1307458	0.1369255	0.3264594
0.6094815	0.5394233	0.6681429	0.6589522	0.0562665	0.1599948	0.6140079	0.1013925	0.1806789	0.3937679
0.7346129	0.5250184	0.8697623	0.6883479	0.0921051	0.4806552	0.3138898	0.0759004	0.1871791	0.0736872
0.8260257	0.3947764	0.8237248	0.6492684	0.0216371	0.3688904	0.6719193	0.0558185	0.1932380	0.3784826
0.8005646	0.3858438	0.6013347	0.6786354	0.0505712	0.3283113	0.7020921	0.0406910	0.0552354	0.3732523
0.8321718	0.6161686	0.6441494	0.6111909	0.1205059	0.3518227	0.5625171	0.1017012	0.1666840	0.1466566
