"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.1003287	0.3630447	0.7655444	0.3044427	0.3755780	0.5940882	0.2934755	0.0230870	0.4253051	0.4141185
50	0.0544355	0.3145744	0.6612418	0.5886509	0.2648588	0.7289425	0.3948869	0.0241848	0.3026595	0.3099640
100	0.0647004	0.4176087	0.7643326	0.4829558	0.1550305	0.6881577	0.5236337	0.0844292	0.3935072	0.2814162
150	0.0651112	0.4541862	0.7789811	0.4628289	0.1311294	0.6418579	0.5498146	0.0137678	0.4036747	0.2513522
200	0.0593377	0.5031771	0.7196665	0.3610955	0.1060429	0.7087843	0.4965969	0.0137574	0.2907543	0.3057289
250	0.1067176	0.6477627	0.7736262	0.5543037	0.1371456	0.6935813	0.4890841	0.0539721	0.3650782	0.3028715
300	0.0843291	0.6400831	0.7091210	0.4601145	0.0857673	0.7144149	0.5656640	0.0150716	0.2950756	0.3601584
350	0.0533917	0.5143539	0.7343725	0.4196976	0.1798864	0.9104726	0.6323725	0.0487214	0.3529101	0.3552650
400	0.0396982	0.6250159	0.7112677	0.5183057	0.1247730	0.7733077	0.6051097	0.0695479	0.2761840	0.3009504
450	0.0765905	0.5984094	0.6722767	0.4085574	0.1438353	0.8862327	0.6459632	0.0765735	0.3115759	0.3069010
500	0.0718503	0.5511696	0.7159568	0.3993246	0.0913169	0.5931533	0.6313965	0.0318404	0.2485228	0.3222972
550	0.0868176	0.5688772	0.6780504	0.1837096	0.4374463	0.6733403	0.7068019	0.0415456	0.4943810	0.5155873
600	0.0938023	0.4336372	0.5461568	0.2109164	0.5176356	0.6986663	0.6364643	0.0369715	0.4585283	0.5672456
650	0.0592895	0.3156746	0.5412993	0.3237097	0.4582741	0.8576290	0.3616024	0.0088406	0.5773165	0.5002394
700	0.1055278	0.3443719	0.5906486	0.2993726	0.4638210	0.7545356	0.3725766	0.0099298	0.5548898	0.3909896
750	0.0758479	0.2275735	0.5404209	0.3443568	0.5356175	0.7500121	0.2681059	0.0073682	0.5178346	0.3930058
800	0.1137350	0.2696991	0.5451015	0.3067171	0.5602002	0.8077536	0.3033892	0.0137173	0.5087370	0.4703512
