YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1368515	0.1553121	0.0304366	0.0452320	0.5209636	0.3715937	0.3058096	0.3802500	0.6149133	0.6506244
0.2366136	0.0581434	0.0239605	0.0655927	0.5882679	0.4609876	0.3105468	0.3678563	0.6624345	0.6126529
0.1380794	0.1502900	0.0247597	0.0449093	0.6019160	0.4185942	0.3894732	0.3771517	0.6362119	0.6879477
0.1978490	0.1443915	0.0304174	0.0289827	0.5811028	0.6230291	0.4120597	0.3580585	0.7110107	0.6543507
0.2181564	0.2228025	0.0294227	0.0299738	0.3643979	0.4675797	0.3137865	0.3758356	0.6464543	0.6704528
0.1849247	0.1677319	0.0746275	0.0495038	0.6537494	0.1476347	0.3385886	0.3486316	0.6723823	0.6156415
0.2176456	0.1873251	0.0708705	0.0488025	0.4927387	0.1950972	0.0908284	0.3697725	0.5919138	0.6317884
0.2988815	0.3200592	0.5183260	0.7282060	0.0340398	0.0641831	0.0453254	0.1378315	0.6759743	0.7453208
0.4837007	0.3550384	0.5123459	0.7719064	0.0100062	0.0163150	0.0562438	0.2054776	0.2476399	0.6939731
0.2344719	0.1948131	0.0168001	0.0426513	0.5788465	0.4982491	0.3377799	0.2715462	0.6964857	0.3502258
