"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W

0	0.1254149	0.4711507	0.6168118	0.5103375	0.9857246	0.1562902	0.1422679	0.1098379	0.0541643	0.2628439
50	0.0965312	0.4750184	0.5410677	0.5157832	0.9863063	0.1212352	0.1183774	0.0574824	0.1217411	0.1896720
100	0.1171292	0.5694523	0.5881083	0.4915375	1.0119694	0.1619353	0.1342601	0.0639511	0.2160155	0.2118839
150	0.2018535	0.7231759	0.6357012	0.5151747	0.9191549	0.1571696	0.1245413	0.0869419	0.3631907	0.1901132
200	0.2069490	0.5795181	0.6780260	0.5703696	0.9220185	0.1788021	0.1441497	0.1261291	0.3904976	0.1970875
250	0.2053605	0.6292333	0.6433580	0.5951987	0.8824216	0.1888889	0.1043780	0.1803516	0.3491525	0.2363897
300	0.2039527	0.6720389	0.6527794	0.5521573	0.8525571	0.1372298	0.1222106	0.1900734	0.3425607	0.2647890
350	0.2626728	0.7664561	0.7369005	0.5515132	0.9034335	0.1259532	0.1108346	0.2108375	0.3798191	0.2649173
400	0.3510218	0.6396629	0.6929131	0.5930523	0.9316158	0.0888494	0.1437415	0.2329274	0.4300520	0.2344294
450	0.3348721	0.7199565	0.7864004	0.5650887	0.9776970	0.1246268	0.1223796	0.1990951	0.4112265	0.2175213
500	0.3946792	0.7675589	0.6612166	0.6174307	0.9203263	0.1283567	0.1237030	0.2266738	0.3834398	0.2561998
550	0.3798570	0.6876921	0.6478530	0.6297619	0.9892853	0.1599809	0.1132609	0.2126143	0.3323263	0.3019884
600	0.3106404	0.5477365	0.6188533	0.5009059	0.9390102	0.1410911	0.1352109	0.1753807	0.1414656	0.2875104
650	0.2318227	0.4202369	0.6041644	0.5407997	0.9138053	0.1217541	0.1193097	0.1456031	0.1123317	0.1849608
700	0.1693945	0.3759563	0.6003496	0.6373098	0.9348468	0.1092214	0.1168619	0.1565229	0.0637226	0.1945267
750	0.1146628	0.3993278	0.5975098	0.7146923	0.8048702	0.1387966	0.1139115	0.1251270	0.0849697	0.3282881
800	0.0790646	0.4724920	0.6329363	0.6583151	0.8727431	0.1391237	0.1245601	0.0940888	0.0992320	0.3731162
850	0.0885933	0.4696802	0.6823439	0.6447336	0.9778151	0.1836770	0.1322951	0.0540507	0.1355863	0.3907172
