YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000000	0.9127027	0.0162887	0.0569420	0.2104503	0.9913333	0.0612312	0.0715310	0.8976421	1.0575618
0.9028933	0.0000000	0.0212065	0.0309492	0.6832900	1.0151814	0.0483271	0.0524827	0.8370451	1.0848232
0.1602465	0.9308282	0.0000000	0.1336901	0.2779294	0.9752889	0.0517727	0.0594973	0.8716565	1.0063010
0.0486948	1.0212494	0.0154611	0.0000000	0.2437572	1.0245414	0.0577545	0.0648059	0.8022726	0.9947319
0.0208827	0.9663318	0.0084053	0.0323963	0.0000000	0.9843909	0.0545296	0.0509589	0.8384826	1.0500473
0.8760076	0.7545648	0.1592733	0.6093294	0.5759825	0.0000000	0.1433905	0.2726731	0.8114357	0.9874466
0.0523166	1.0077017	0.0166287	0.0785444	0.2275938	1.0790028	0.0000000	0.0652204	0.9481255	1.1316386
0.1125395	1.0232773	0.0177987	0.0766705	0.2332072	1.0030824	0.0343994	0.0000000	0.9115726	0.9815883
0.0727805	1.0685244	0.0138538	0.1064757	0.2692530	1.0007443	0.0763465	0.0592040	0.0000000	0.9186284
0.1462920	0.9636298	0.0250135	0.1953257	0.3244896	1.0612190	0.0948461	0.0383520	0.0262314	0.0000000
