"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.7141572	0.8185464	0.2720736	0.1487974	0.1472583	0.3263967	0.3657519	0.5064516	0.8625694	1.0000000
50	0.5943434	0.8049502	0.2708497	0.1482791	0.1471206	0.3265620	0.3662810	0.5215408	0.8625694	1.0000000
100	0.5694802	0.8029582	0.2698087	0.1479957	0.1471696	0.3268024	0.3613259	0.5509495	0.8625694	1.0000000
150	0.5655024	0.8039352	0.2690779	0.1479372	0.1473525	0.3270596	0.3521646	0.5674320	0.8625694	1.0000000
200	0.5646143	0.8053728	0.2687021	0.1480595	0.1476068	0.3272868	0.3441233	0.5736414	0.8625694	1.0000000
250	0.5637153	0.8064945	0.2686576	0.1482994	0.1478733	0.3274538	0.3390253	0.5757014	0.8625694	1.0000000
300	0.5627706	0.8070806	0.2688725	0.1485895	0.1481048	0.3275474	0.3362705	0.5765310	0.8625694	1.0000000
350	0.5620793	0.8071349	0.2692498	0.1488700	0.1482715	0.3275699	0.3348704	0.5770254	0.8625694	1.0000000
400	0.5617935	0.8067677	0.2696889	0.1490965	0.1483611	0.3275344	0.3341517	0.5773518	0.8625694	1.0000000
450	0.5619107	0.8061370	0.2701024	0.1492443	0.1483773	0.3274607	0.3337699	0.5775110	0.8625694	1.0000000
500	0.5623349	0.8054084	0.2704278	0.1493075	0.1483349	0.3273700	0.3335723	0.5775047	0.8625694	1.0000000
550	0.6851287	0.8198453	0.2706319	0.1492957	0.1482550	0.3272815	0.3339953	0.5621979	0.8625694	1.0000000
600	0.7086555	0.8233105	0.2707093	0.1492287	0.1481596	0.3272092	0.3388219	0.5321897	0.8625694	1.0000000
650	0.7103780	0.8240364	0.2706775	0.1491310	0.1480685	0.3271614	0.3478199	0.5149680	0.8625694	1.0000000
700	0.7091558	0.8241940	0.2705678	0.1490261	0.1479956	0.3271402	0.3563259	0.5089961	0.8625694	1.0000000
750	0.7082582	0.8243260	0.2704172	0.1489332	0.1479487	0.3271427	0.3619318	0.5076718	0.8625694	1.0000000
800	0.7077580	0.8245311	0.2702603	0.1488648	0.1479294	0.3271629	0.3648792	0.5076369	0.8625694	1.0000000
850	0.7074029	0.8247879	0.2701249	0.1488264	0.1479344	0.3271932	0.3662018	0.5078242	0.8625694	1.0000000
900	0.7070689	0.8250494	0.2700282	0.1488172	0.1479570	0.3272261	0.3667180	0.5080132	0.8625694	1.0000000
950	0.7067390	0.8252730	0.2699770	0.1488317	0.1479892	0.3272556	0.3668783	0.5081891	0.8625694	1.0000000
1000	0.7064399	0.8254315	0.2699688	0.1488619	0.1480234	0.3272776	0.3668909	0.5083561	0.8625694	1.0000000

0	0.7141572	0.8185464	0.2720736	0.1487974	0.1472583	0.3263967	0.3657519	0.5064516	0.8625694	1.0000000
50	0.4595258	0.7483031	0.4799356	0.1482558	0.1466389	0.3197131	0.3655720	0.5389600	0.8625694	1.0000000
100	0.4302487	0.5527469	0.5407643	0.1469304	0.1409586	0.3009390	0.3549750	0.5941421	0.8625694	1.0000000
150	0.4700088	0.3972577	0.5575118	0.1415176	0.1280881	0.2832785	0.3385617	0.6150752	0.8625694	1.0000000
200	0.4995518	0.3147080	0.5589647	0.1312226	0.1132228	0.2716517	0.3270189	0.6130762	0.8625694	1.0000000
250	0.5115469	0.2785288	0.5534009	0.1196796	0.1010183	0.2654310	0.3223208	0.6056998	0.8625694	1.0000000
300	0.5155843	0.2668374	0.5450624	0.1103283	0.0928359	0.2628848	0.3218031	0.6003964	0.8625694	1.0000000
350	0.5168583	0.2673762	0.5370046	0.1041144	0.0881513	0.2625112	0.3227710	0.5977477	0.8625694	1.0000000
400	0.5172278	0.2732752	0.5307388	0.1004807	0.0859430	0.2632149	0.3238322	0.5966454	0.8625694	1.0000000
450	0.5172911	0.2805630	0.5264900	0.0985764	0.0852739	0.2642797	0.3245723	0.5962405	0.8625694	1.0000000
500	0.5172446	0.2871499	0.5238832	0.0977255	0.0854369	0.2653077	0.3249974	0.5961151	0.8625694	1.0000000
550	0.8770128	0.3495714	0.2915779	0.0974798	0.0862361	0.2725914	0.3265550	0.5523694	0.8625694	1.0000000
600	0.9641639	0.5499738	0.2225890	0.0977870	0.0905890	0.2929949	0.3408528	0.4603191	0.8625694	1.0000000
650	0.9590735	0.7442941	0.2024038	0.0995810	0.1017478	0.3141048	0.3702476	0.4069011	0.8625694	1.0000000
