YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.3655795	0.7825403	0.3481661	0.0748005	0.2910319	0.5411832	0.7241055	0.0068692	0.0562057
0.7261606	0.0000000	0.5786136	0.3183153	0.1364404	0.7558304	0.0445269	0.8242418	0.5827339	0.6746443
0.1639399	0.8120842	0.0000000	0.4034734	0.0468494	0.2632623	0.6627612	0.7159194	0.0350143	0.0625715
0.5311525	0.2934054	0.6773815	0.0000000	0.0495416	0.3200830	0.5890366	0.6789472	0.0145030	0.0747588
0.5568825	0.2434718	0.8933325	0.6383238	0.0000000	0.2298947	0.6040013	0.7557718	0.0124254	0.0774334
0.5685187	0.4219670	0.6832952	0.4745998	0.0212166	0.0000000	0.6401778	0.8865207	0.0188265	0.0602701
0.5465451	0.2988730	0.6413407	0.3296709	0.1334190	0.8271989	0.0000000	0.7231142	0.7306631	0.6956687
0.5513430	0.3597551	0.7424379	0.4403577	0.0902670	0.2115819	0.8304462	0.0000000	0.0082227	0.0515866
0.6144065	0.2984991	0.6962017	0.2710189	0.0773220	0.1834302	0.6788799	0.6460212	0.0000000	0.0708935
0.5137249	0.3459220	0.7435612	0.3314848	0.1161038	0.2514286	0.5723238	0.7900827	0.0149326	0.0000000
