"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
100	1.0000000	0.9365141	0.9995744	0.9558337	0.3157266	0.7069244	0.8482562	0.3368184	0.6951453	0.5561526
150	1.0000000	0.9031240	0.9994782	0.9488169	0.3260913	0.8218234	0.8518371	0.3696212	0.6437731	0.3934532
200	1.0000000	0.8509963	0.9993472	0.9364189	0.3334142	0.8561925	0.8558301	0.4123128	0.5953482	0.3401181
250	1.0000000	0.8018516	0.9991866	0.9171948	0.3434950	0.8667566	0.8623009	0.4612360	0.5666913	0.3220722
300	1.0000000	0.7683798	0.9990426	0.8913595	0.3573440	0.8711247	0.8711556	0.5032997	0.5572057	0.3125107
350	1.0000000	0.7482799	0.9989560	0.8636206	0.3724142	0.8741801	0.8801092	0.5293376	0.5581335	0.3040265
400	1.0000000	0.7352905	0.9989266	0.8405777	0.3846599	0.8767874	0.8866046	0.5401283	0.5622898	0.2961467
450	1.0000000	0.7256413	0.9989307	0.8258719	0.3919269	0.8787565	0.8899328	0.5414487	0.5664474	0.2900937
500	1.0000000	0.7182516	0.9989471	0.8190392	0.3947288	0.8799477	0.8908845	0.5385634	0.5699256	0.2864509
550	1.0000000	0.6886172	0.9990520	0.8186645	0.1916098	0.7994234	0.3410907	0.5143565	0.6628662	0.5040685
600	1.0000000	0.7837731	0.9992577	0.8318247	0.1427362	0.5842555	0.2756289	0.4579077	0.7319412	0.8128202
650	1.0000000	0.8681348	0.9994347	0.8598887	0.1120044	0.4024300	0.2052404	0.4007313	0.7834452	0.9354106
700	1.0000000	0.9087349	0.9995503	0.8918279	0.0868995	0.2615599	0.1432409	0.3583456	0.8110957	0.9786958
750	1.0000000	0.9257087	0.9996146	0.9180135	0.0697391	0.1622024	0.1037538	0.3322221	0.8239252	0.9933900
800	1.0000000	0.9325022	0.9996471	0.9357134	0.0596666	0.1057953	0.0825168	0.3177911	0.8293205	0.9979892
850	1.0000000	0.9351545	0.9996625	0.9463707	0.0542383	0.0785138	0.0718231	0.3103897	0.8313561	0.9993551
900	1.0000000	0.9361661	0.9996693	0.9523340	0.0514459	0.0662617	0.0665653	0.3068171	0.8320208	0.9997576
950	1.0000000	0.9365432	0.9996721	0.9555000	0.0500557	0.0608600	0.0640281	0.3051875	0.8321904	0.9998798
1000	1.0000000	0.9366810	0.9996732	0.9571088	0.0493854	0.0584634	0.0628357	0.3044849	0.8322088	0.9999192

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9681464	0.9997593	0.8495543	0.0488360	0.6988882	0.0619132	0.3046206	0.8118680	0.4503278
100	1.0000000	0.9620230	0.9997693	0.8161660	0.0491140	0.8671642	0.0628120	0.3126685	0.7474787	0.3158344
150	1.0000000	0.9422044	0.9997319	0.8040607	0.0508603	0.9112851	0.0680614	0.3366458	0.6830409	0.2829219
200	1.0000000	0.9241850	0.9996656	0.7950009	0.0558346	0.9230279	0.0824499	0.3736212	0.6438633	0.2748612
250	1.0000000	0.9134312	0.9995975	0.7830788	0.0649326	0.9266463	0.1082565	0.4109094	0.6261860	0.2728624
300	1.0000000	0.9083230	0.9995478	0.7684637	0.0768236	0.9287904	0.1409497	0.4385469	0.6199576	0.2722845
350	1.0000000	0.9061781	0.9995199	0.7541892	0.0884717	0.9312675	0.1712859	0.4548984	0.6183903	0.2719173
400	1.0000000	0.9052998	0.9995072	0.7429198	0.0974313	0.9340737	0.1930576	0.4630434	0.6182695	0.2714461
450	1.0000000	0.9048842	0.9995025	0.7354433	0.1031031	0.9365844	0.2058682	0.4665649	0.6183982	0.2709050
500	1.0000000	0.9046222	0.9995011	0.7311265	0.1061794	0.9383898	0.2123432	0.4679195	0.6184589	0.2704365
550	1.0000000	0.7971461	0.9993020	0.8281295	0.1075651	0.4112221	0.2148845	0.4647742	0.6619525	0.8153146
600	1.0000000	0.8668564	0.9993511	0.8604666	0.1049776	0.2745089	0.2045270	0.4333466	0.7458301	0.9485209
650	1.0000000	0.9083635	0.9994799	0.8828074	0.0934203	0.2214666	0.1678470	0.3857941	0.7964129	0.9826442
700	1.0000000	0.9257943	0.9995763	0.9063026	0.0777530	0.1695590	0.1247884	0.3484723	0.8187887	0.9935250
750	1.0000000	0.9325800	0.9996295	0.9265079	0.0651235	0.1210420	0.0945632	0.3260649	0.8275315	0.9976607
800	1.0000000	0.9351757	0.9996550	0.9405622	0.0572666	0.0888285	0.0778239	0.3142814	0.8306995	0.9991662
850	1.0000000	0.9361633	0.9996663	0.9490819	0.0529750	0.0716652	0.0694031	0.3085670	0.8317646	0.9996775
900	1.0000000	0.9365364	0.9996709	0.9538087	0.0507894	0.0634333	0.0653370	0.3059542	0.8320863	0.9998481
950	1.0000000	0.9366759	0.9996728	0.9562722	0.0497263	0.0596437	0.0634287	0.3048159	0.8321658	0.9999067
1000	1.0000000	0.9367276	0.9996734	0.9574947	0.0492284	0.0579228	0.0625594	0.3043411	0.8321760	0.9999278

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9367575	0.9996738	0.9585632	0.0488302	0.0565180	0.0618921	0.3040307	0.8321614	0.9999416
100	1.0000000	0.9367577	0.9996738	0.9585544	0.0488336	0.0565278	0.0618981	0.3040348	0.8321599	0.9999415
150	1.0000000	0.9367578	0.9996738	0.9585501	0.0488352	0.0565325	0.0619011	0.3040369	0.8321593	0.9999415
200	1.0000000	0.9367578	0.9996738	0.9585480	0.0488360	0.0565348	0.0619025	0.3040379	0.8321590	0.9999415
250	1.0000000	0.9367578	0.9996738	0.9585470	0.0488364	0.0565359	0.0619033	0.3040384	0.8321589	0.9999415
300	1.0000000	0.9367578	0.9996738	0.9585465	0.0488366	0.0565365	0.0619036	0.3040386	0.8321588	0.9999414
350	1.0000000	0.9367578	0.9996738	0.9585462	0.0488367	0.0565367	0.0619038	0.3040387	0.8321588	0.9999414
400	1.0000000	0.9367578	0.9996738	0.9585461	0.0488368	0.0565369	0.0619039	0.3040388	0.8321588	0.9999414
450	1.0000000	0.9367578	0.9996738	0.9585461	0.0488368	0.0565369	0.0619039	0.3040388	0.8321588	0.9999414
500	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
550	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
600	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
