YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.8245813	0.4809800	0.5783655	0.4054254	0.6105157	0.2880217	0.2386852	0.5951945	0.7415412	0.7653745
0.7879302	0.5326074	0.5682084	0.3364267	0.6459659	0.2158586	0.2324065	0.8821490	0.6684872	0.7295899
0.7725013	0.5504116	0.4828426	0.3561115	0.3887502	0.2684406	0.2051315	0.5740541	0.7119991	0.8717305
0.7083521	0.3698435	0.4335237	0.2388431	0.4177340	0.2687284	0.6445127	0.3289160	0.5565411	0.6592769
0.6429780	0.3130732	0.4951069	0.3279529	0.6201486	0.4761996	0.5628173	0.4222582	0.6514504	0.2294684
0.9518471	0.5107635	0.7080718	0.6354970	0.1954119	0.1135656	0.2321869	0.8144546	0.5440090	0.6307562
0.7963627	0.4735187	0.5351036	0.4120353	0.3561377	0.1334034	0.3812698	0.5052621	0.5112201	0.2943205
0.6414477	0.1381651	0.1218832	0.5340282	0.7271441	0.6011208	0.8997991	0.2870381	0.6509565	0.3018323
0.7492358	0.4868557	0.6214669	0.3691965	0.0246499	0.0146558	0.0994456	0.7130274	0.2650675	0.8723765
0.9368572	0.4318015	0.6281943	0.6416560	0.5032494	0.1051197	0.2181585	0.5971591	0.5501289	0.7509578
