"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	0.7204701	0.7058280	0.7788075	0.6395374	0.0547962	0.0285395	0.0519262	0.1659519	0.6660129	0.6216401
50	0.8064468	0.5785631	0.8568623	0.6540455	0.0356962	0.1556680	0.0369592	0.1897427	0.3344937	0.6395355
100	0.7094548	0.7102261	0.8078103	0.7202953	0.0226814	0.2104835	0.0455450	0.3643155	0.3654529	0.5857609
150	0.7699010	0.6167339	0.7236114	0.6566557	0.0570895	0.1845212	0.1442968	0.5711386	0.2634064	0.6201011
200	0.7459610	0.6319801	0.6873455	0.5690308	0.1178992	0.2710161	0.2811545	0.5861311	0.2735806	0.8024397
250	0.7275514	0.6742747	0.6354814	0.5139771	0.1845566	0.3308533	0.3954886	0.7335976	0.1599225	0.6278298
300	0.6494332	0.7740757	0.6660265	0.4726021	0.3197216	0.5954900	0.5050828	0.5824111	0.1929682	0.5022904
350	0.6467263	0.5984496	0.7051727	0.4969183	0.3114689	0.5527823	0.6078085	0.6445085	0.2443183	0.3829319
400	0.7890464	0.5446828	0.5718276	0.3482766	0.3185883	0.6447681	0.5265487	0.6438229	0.2619843	0.2842869
450	0.6898146	0.5378364	0.6230494	0.4194775	0.2940773	0.6759160	0.6697573	0.6071773	0.1741053	0.2956719
500	0.7073923	0.6028892	0.7616658	0.3594283	0.2691400	0.5867834	0.5719939	0.6565003	0.2055281	0.3090087
550	0.6656814	0.5197392	0.6591159	0.3779367	0.4236673	0.5598830	0.7147076	0.7334763	0.5272795	0.2534284
600	0.6809837	0.5245937	0.6728185	0.3068037	0.3535542	0.4907149	0.5462205	0.4608664	0.5329445	0.2132179
650	0.6568316	0.4821654	0.7863431	0.3937580	0.2391045	0.6551288	0.4009055	0.3382148	0.5123442	0.3399487
700	0.6440072	0.5397499	0.6624506	0.4641080	0.1520390	0.6648267	0.2547136	0.3038817	0.5394735	0.4932284
750	0.6570625	0.6621804	0.6624175	0.5625911	0.1336145	0.4342485	0.1672432	0.2539546	0.5977453	0.5669159
800	0.9166302	0.7002413	0.6585027	0.5905895	0.0753129	0.2754824	0.1320090	0.2050970	0.6251447	0.7073984
850	0.6397530	0.5841155	0.7448760	0.6898660	0.0270653	0.1904283	0.0825754	0.2199050	0.6293363	0.6451466
900	0.6773218	0.7251217	0.5328182	0.7616270	0.0266355	0.0449832	0.0158321	0.2081339	0.6110790	0.5977411
950	0.6764535	0.6281714	0.7286234	0.6379702	0.0454714	0.0424309	0.0452059	0.2617231	0.7420740	0.7250134
1000	0.7659519	0.6511829	0.7536203	0.7146365	0.0303773	0.0135465	0.0363957	0.2281401	0.5455621	0.6809615

0	0.7212847	0.6667885	0.8691995	0.6996386	0.0319099	0.0464478	0.0807413	0.1866834	0.6206539	0.7798299
50	0.6382193	0.6605113	0.9567857	0.6388609	0.4580123	0.0509844	0.0294787	0.1681367	0.5232054	0.7209581
100	0.5225055	0.7569833	0.6763600	0.7113698	0.4722153	0.0448677	0.0351821	0.1841994	0.4803826	0.7087602
150	0.4759900	0.7613104	0.6308820	0.6706864	0.5655039	0.0459777	0.0759745	0.1849122	0.5890820	0.6388527
200	0.4979025	0.6991139	0.7604210	0.6830101	0.5024735	0.0203805	0.0441304	0.1554047	0.5417756	0.7461943
250	0.5155964	0.5511358	0.6110089	0.6170481	0.4663115	0.0399053	0.0201420	0.1566663	0.5998816	0.6909082
300	0.5548567	0.6985896	0.6146771	0.6802644	0.4654178	0.0408396	0.0275997	0.2069435	0.5645274	0.8393744
350	0.5383617	0.7272918	0.7408676	0.7153620	0.4238716	0.0686759	0.0135949	0.1557554	0.5894786	0.6962050
400	0.4726795	0.6312506	0.7638471	0.7303906	0.4919616	0.0447232	0.0339322	0.1278641	0.5944599	0.7147772
450	0.5346548	0.5591646	0.6016407	0.6088198	0.5278750	0.0220503	0.0199721	0.1046740	0.6024453	0.7245551
500	0.5689274	0.5824033	0.6794965	0.6344637	0.4802120	0.0345080	0.0326058	0.1521165	0.6583723	0.6303345
550	0.6510152	0.6838201	0.7878005	0.6483345	0.1044382	0.0144979	0.0383084	0.2116681	0.5640124	0.9062402
600	0.6662339	0.9402662	0.6853831	0.8128839	0.0455485	0.0472006	0.0543138	0.1993799	0.6363107	0.7157264
650	0.6747614	0.6267452	0.8390646	0.8736009	0.0404010	0.0417509	0.0413560	0.1580610	0.6641587	0.8724982
700	0.7598706	0.5932299	0.7608947	0.6303829	0.0360263	0.0449121	0.0695996	0.1845765	0.7134104	0.8129344
750	0.6923114	0.6854004	0.7408828	0.7505704	0.0449660	0.0400334	0.0332070	0.1829711	0.6221221	0.6582938
800	0.7427599	0.6723617	0.7357794	0.6576993	0.0131364	0.0686350	0.0246720	0.2097859	0.4098306	0.7199519
850	0.7123331	0.7364961	0.5770881	0.7128342	0.0183987	0.0604160	0.0545572	0.2040490	0.6070340	0.7908557
900	0.7380266	0.6787233	0.6596292	0.7756886	0.0702891	0.0420894	0.0533640	0.1664704	0.6148074	0.8113382
950	0.6086443	0.6503944	0.7222103	0.6286263	0.0865991	0.0301773	0.0455792	0.2676479	0.6589545	0.9086174
