YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2650665	0.0390191	0.2294112	0.3935478	0.9775096	0.3371481	0.9332637	0.9659528	1.0000000	0.0436769
0.5314221	0.0195367	0.2294111	0.3935479	0.9775094	0.3371483	0.9332637	0.9659528	1.0000000	0.0436769
0.5280813	0.0388541	0.1147642	0.3935478	0.9775095	0.3371482	0.9332637	0.9659528	1.0000000	0.0436769
0.5313416	0.0410622	0.3346295	0.1967740	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436769
0.5297027	0.0389423	0.2098797	0.9090931	0.1254644	0.9696821	0.9332637	0.9659528	1.0000000	0.1497456
0.5300472	0.0390222	0.2303327	0.3868121	0.9991899	0.1634404	0.9332637	0.9659528	1.0000000	0.0436635
0.5301662	0.0390201	0.2297241	0.3911061	0.9854702	0.3060510	0.4666479	0.9659528	1.0000000	0.0436720
0.5302106	0.0390203	0.2297775	0.3907163	0.9867440	0.2998919	0.4391801	0.4829764	1.0000000	0.0436712
0.5300411	0.0390192	0.2294384	0.3933065	0.9783337	0.3342517	0.7967412	0.7112704	0.5000057	0.0436764
0.5300353	0.0390192	0.2294112	0.3935476	0.9775098	0.3371479	0.9332637	0.9659528	1.0000000	0.0218526
