YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000013	0.0187346	0.0245269	0.9999937	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6101396	0.0000059	0.4875967	0.7244606	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.9999653	0.0186979	0.0000040	0.5217973	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.3120854	0.7429301	0.9999987	0.0000065	0.6548996	0.9996509	0.0398507	0.8452249	1.0000000	1.0000000
0.6008413	0.2693379	0.4981048	0.6927069	0.0000000	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6008771	0.2692930	0.4981116	0.6926732	0.0256371	0.0000000	0.5034655	0.8452249	1.0000000	1.0000000
0.6101458	0.2576300	0.4875952	0.7244771	0.6550237	0.9999999	0.0000022	0.8452249	1.0000000	1.0000000
0.6101435	0.2576328	0.4875956	0.7244624	0.6549167	0.9997009	0.0373503	0.0000036	1.0000000	1.0000000
0.6101429	0.2576334	0.4875955	0.7244605	0.6548994	0.9996503	0.0397695	0.0770459	0.0000000	1.0000000
0.6308519	0.2326995	0.4648652	0.9999754	0.0256373	0.9996485	0.0398507	0.8452249	1.0000000	0.0000010
